"Names","TA","Mass"
"20160712_CRM.csv",2232.43284453064,99.95,NA
"20160712_S10.csv",2146.68488349857,99.96,NA
"20160712_S11.csv",2153.41682623286,100.1,NA
"20160712_S12.csv",2146.17696807762,100.13,NA
"20160712_S13.csv",2167.98034274871,100.06,NA
"20160712_S14.csv",2157.24569713314,100.14,NA
"20160712_S15.csv",2159.00864672198,100,NA
"20160712_S16.csv",2163.53044875119,100.02,NA
"20160712_S31.csv",2199.6396637137,99.92,NA
"20160712_S32.csv",2172.0980030814,100.21,NA
"20160712_S33.csv",2173.92722823741,100,NA
"20160712_S34.csv",2154.13562682721,99.92,NA
"20160712_S38.csv",2161.86624846567,99.93,NA
"20160712_S39.csv",2156.33111368315,99.98,NA
"20160712_S40.csv",2159.01735096833,99.96,NA
"20160712_S41.csv",2158.66637177642,100.16,NA
"20160712_S42.csv",2157.83454225619,100.15,NA
"20160712_S6.csv",2156.49633637825,99.99,NA
"20160712_S8.csv",2165.35438732994,99.97,NA
"20160712mass.csv",NA,NA,NA
"TA 20160712 .csv",NA,NA,NA
