Tank,Mass,Salinity
20160705_CRM,99.95,33.331
20160705_TANK4,99.97,34
20160705_TANK5,100.03,33.8
20160705_TANK6,99.98,34
20160705_TANK8,100,33.9
20160705_TANK9,99.98,34.2
20160705_TANK10,100.07,33.7
20160705_TANK11,100,33.7
20160705_TANK12,100.02,33.9
20160705_TANK13,99.89,33.8
20160705_TANK14,100.06,33.6
20160705_TANK15,100,33.6
20160705_TANK16,99.95,33.7
20160705_TANK17,99.87,33.7
20160705_TANK18,99.97,33.6
