Names,TA,Mass,
20160705_CRM.csv,2224.440332,99.95,NA
20160705_TANK10.csv,2145.654125,100.07,NA
20160705_TANK11.csv,2155.815162,100,NA
20160705_TANK12.csv,2159.144492,100.02,NA
20160705_TANK13.csv,2152.868491,99.89,NA
20160705_TANK14.csv,2144.477258,100.06,NA
20160705_TANK15.csv,2139.398598,100,NA
20160705_TANK16.csv,2155.72669,99.95,NA
20160705_TANK17.csv,2154.989864,99.87,NA
20160705_TANK18.csv,2142.815304,99.97,NA
20160705_TANK4.csv,2162.155624,99.97,NA
20160705_TANK5.csv,2151.705229,100.03,NA
20160705_TANK6.csv,2149.704098,99.98,NA
20160705_TANK8.csv,2109.91542,100,NA
20160705_TANK9.csv,2154.425771,99.98,NA
20160705mass.csv,NA,NA,NA
TA 20160705 .csv,NA,NA,NA
