Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6382


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,05/05/2016 , 15:45:00,2243,2243
2,05/05/2016 , 16:00:00,1509,1509
3,05/05/2016 , 16:15:00,1955,1955
4,05/05/2016 , 16:30:00,1055,1055
5,05/05/2016 , 16:45:00,495,495
6,05/05/2016 , 17:00:00,1026,1026
7,05/05/2016 , 17:15:00,719,719
8,05/05/2016 , 17:30:00,298,298
9,05/05/2016 , 17:45:00,178,178
10,05/05/2016 , 18:00:00,135,135
11,05/05/2016 , 18:15:00,85,85
12,05/05/2016 , 18:30:00,67,67
13,05/05/2016 , 18:45:00,47,47
14,05/05/2016 , 19:00:00,13,13
15,05/05/2016 , 19:15:00,3,3
16,05/05/2016 , 19:30:00,0,0
17,05/05/2016 , 19:45:00,0,0
18,05/05/2016 , 20:00:00,0,0
19,05/05/2016 , 20:15:00,0,0
20,05/05/2016 , 20:30:00,0,0
21,05/05/2016 , 20:45:00,0,0
22,05/05/2016 , 21:00:00,0,0
23,05/05/2016 , 21:15:00,0,0
24,05/05/2016 , 21:30:00,0,0
25,05/05/2016 , 21:45:00,0,0
26,05/05/2016 , 22:00:00,0,0
27,05/05/2016 , 22:15:00,0,0
28,05/05/2016 , 22:30:00,0,0
29,05/05/2016 , 22:45:00,0,0
30,05/05/2016 , 23:00:00,0,0
31,05/05/2016 , 23:15:00,0,0
32,05/05/2016 , 23:30:00,0,0
33,05/05/2016 , 23:45:00,0,0
34,05/05/2016 , 24:00:00,0,0
35,06/05/2016 , 00:15:00,0,0
36,06/05/2016 , 00:30:00,0,0
37,06/05/2016 , 00:45:00,0,0
38,06/05/2016 , 01:00:00,0,0
39,06/05/2016 , 01:15:00,0,0
40,06/05/2016 , 01:30:00,0,0
41,06/05/2016 , 01:45:00,0,0
42,06/05/2016 , 02:00:00,0,0
43,06/05/2016 , 02:15:00,0,0
44,06/05/2016 , 02:30:00,0,0
45,06/05/2016 , 02:45:00,0,0
46,06/05/2016 , 03:00:00,0,0
47,06/05/2016 , 03:15:00,0,0
48,06/05/2016 , 03:30:00,0,0
49,06/05/2016 , 03:45:00,0,0
50,06/05/2016 , 04:00:00,0,0
51,06/05/2016 , 04:15:00,0,0
52,06/05/2016 , 04:30:00,0,0
53,06/05/2016 , 04:45:00,0,0
54,06/05/2016 , 05:00:00,0,0
55,06/05/2016 , 05:15:00,0,0
56,06/05/2016 , 05:30:00,0,0
57,06/05/2016 , 05:45:00,0,0
58,06/05/2016 , 06:00:00,2,2
59,06/05/2016 , 06:15:00,17,17
60,06/05/2016 , 06:30:00,44,44
61,06/05/2016 , 06:45:00,99,99
62,06/05/2016 , 07:00:00,180,180
63,06/05/2016 , 07:15:00,257,257
64,06/05/2016 , 07:30:00,250,250
65,06/05/2016 , 07:45:00,273,273
66,06/05/2016 , 08:00:00,467,467
67,06/05/2016 , 08:15:00,703,703
68,06/05/2016 , 08:30:00,1491,1491
69,06/05/2016 , 08:45:00,1518,1518
70,06/05/2016 , 09:00:00,1927,1927
71,06/05/2016 , 09:15:00,2242,2242
72,06/05/2016 , 09:30:00,2390,2390
73,06/05/2016 , 09:45:00,2545,2545
74,06/05/2016 , 10:00:00,3165,3165
75,06/05/2016 , 10:15:00,2688,2688
76,06/05/2016 , 10:30:00,1699,1699
77,06/05/2016 , 10:45:00,3410,3410
78,06/05/2016 , 11:00:00,2330,2330
79,06/05/2016 , 11:15:00,2041,2041
80,06/05/2016 , 11:30:00,2363,2363
81,06/05/2016 , 11:45:00,2670,2670
82,06/05/2016 , 12:00:00,2622,2622
83,06/05/2016 , 12:15:00,3151,3151
84,06/05/2016 , 12:30:00,3298,3298
85,06/05/2016 , 12:45:00,2554,2554
86,06/05/2016 , 13:00:00,2581,2581
87,06/05/2016 , 13:15:00,2782,2782
88,06/05/2016 , 13:30:00,3181,3181
89,06/05/2016 , 13:45:00,1532,1532
90,06/05/2016 , 14:00:00,1130,1130
91,06/05/2016 , 14:15:00,1130,1130
92,06/05/2016 , 14:30:00,1150,1150
93,06/05/2016 , 14:45:00,765,765
94,06/05/2016 , 15:00:00,506,506
95,06/05/2016 , 15:15:00,474,474
96,06/05/2016 , 15:30:00,426,426
97,06/05/2016 , 15:45:00,562,562
98,06/05/2016 , 16:00:00,321,321
99,06/05/2016 , 16:15:00,757,757
100,06/05/2016 , 16:30:00,375,375
101,06/05/2016 , 16:45:00,157,157
102,06/05/2016 , 17:00:00,509,509
103,06/05/2016 , 17:15:00,406,406
104,06/05/2016 , 17:30:00,315,315
105,06/05/2016 , 17:45:00,311,311
106,06/05/2016 , 18:00:00,229,229
107,06/05/2016 , 18:15:00,126,126
108,06/05/2016 , 18:30:00,81,81
109,06/05/2016 , 18:45:00,33,33
