Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 6/9",,,,
Measured Values,,"Scope 1/1, Sample 6/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,62.4,,21.7,,
28,0.0400,-5.3,0.0400,21.7,-67.7,
58,0.0800,-28.2,0.0400,21.7,-22.9,
61,0.1200,-28.9,0.0400,21.7,-0.7,
65,0.1600,-28.6,0.0400,21.7,0.3,
95,0.2000,-19.8,0.0400,21.7,8.8,
116,0.2400,-14.3,0.0400,21.7,5.5,
132,0.2800,-10.5,0.0400,21.7,3.8,
142,0.3200,-8.0,0.0400,21.7,2.5,
163,0.3600,-2.1,0.0400,21.7,5.9,
167,0.4000,-0.7,0.0400,21.7,1.4,
172,0.4400,-0.2,0.0400,21.7,0.5,
178,0.4800,2.4,0.0400,21.7,2.6,
186,0.5200,4.5,0.0400,21.7,2.1,
190,0.5600,5.4,0.0400,21.7,0.9,
213,0.6000,12.1,0.0400,21.7,6.7,
222,0.6400,14.3,0.0400,21.7,2.2,
229,0.6800,16.2,0.0400,21.7,1.9,
237,0.7200,18.2,0.0400,21.7,2.0,
244,0.7600,20.7,0.0400,21.7,2.5,
254,0.8000,23.0,0.0400,21.7,2.3,
262,0.8400,25.0,0.0400,21.7,2.0,
273,0.8800,27.7,0.0400,21.7,2.7,
279,0.9200,29.9,0.0400,21.7,2.2,
287,0.9600,31.8,0.0400,21.7,1.9,
294,1.0000,33.8,0.0400,21.7,2.0,
301,1.0400,36.4,0.0400,21.7,2.6,
310,1.0800,39.0,0.0400,21.7,2.6,
318,1.1200,41.3,0.0400,21.7,2.3,
324,1.1600,43.6,0.0400,21.7,2.3,
330,1.2000,46.2,0.0400,21.7,2.6,
338,1.2400,48.5,0.0400,21.7,2.3,
344,1.2800,51.0,0.0400,21.7,2.5,
352,1.3200,53.3,0.0400,21.7,2.3,
358,1.3600,56.3,0.0400,21.7,3.0,
366,1.4000,58.2,0.0400,21.7,1.9,
371,1.4400,62.3,0.0400,21.7,4.1,
376,1.4800,64.8,0.0400,21.7,2.5,
381,1.5200,66.9,0.0400,21.7,2.1,
386,1.5600,70.5,0.0400,21.7,3.6,
390,1.6000,74.8,0.0400,21.7,4.3,
394,1.6400,77.4,0.0400,21.7,2.6,
399,1.6800,78.9,0.0400,21.7,1.5,
404,1.7200,81.7,0.0400,21.7,2.8,
409,1.7600,86.6,0.0400,21.7,4.9,
414,1.8000,89.4,0.0400,21.7,2.8,
421,1.8400,92.6,0.0400,21.7,3.2,
431,1.8800,97.0,0.0400,21.7,4.4,
440,1.9200,102.6,0.0400,21.7,5.6,
445,1.9600,109.2,0.0400,21.7,6.6,
450,2.0000,115.1,0.0400,21.7,5.9,
459,2.0400,122.7,0.0400,21.7,7.6,
468,2.0800,133.2,0.0400,21.7,10.5,
475,2.1200,144.0,0.0400,21.7,10.8,
483,2.1600,154.5,0.0400,21.7,10.5,260.93
489,2.2000,164.5,0.0400,21.7,10.0,231.66
494,2.2400,172.7,0.0400,21.7,8.2,188.20
499,2.2800,179.4,0.0400,21.7,6.7,146.51
503,2.3200,183.8,0.0400,21.7,4.4,110.80
628,2.3400,184.8,0.0200,21.7,1.0,94.65
632,2.3600,187.4,0.0200,21.7,2.6,86.19
636,2.3800,189.3,0.0200,21.7,1.9,84.34
640,2.4000,191.1,0.0200,21.7,1.8,85.45
645,2.4200,192.3,0.0200,21.7,1.2,83.71
650,2.4400,194.3,0.0200,21.7,2.0,76.63
