"Names","TA","Mass"
"20160404_CRM.csv",2220.36935975199,100.1,NA
"20160404_TANK10.csv",2141.0460139946,100.14,NA
"20160404_TANK11.csv",2152.87481626028,100.16,NA
"20160404_TANK12.csv",2156.81211751703,100.01,NA
"20160404_TANK13.csv",2152.34100878264,100.12,NA
"20160404_TANK14.csv",2152.31906309973,100.02,NA
"20160404_TANK15.csv",2146.15928817567,99.99,NA
"20160404_TANK16.csv",2147.01175107769,100.28,NA
"20160404_TANK17.csv",2155.30104802959,100,NA
"20160404_TANK18.csv",2141.16742097278,99.97,NA
"20160404mass.csv",NA,NA,NA
"TA 20160404 .csv",NA,NA,NA
