"Names","TA","Mass"
"20160502_CRM.csv",2203.00955176903,99.53,NA
"20160502_TANK10.csv",2178.25019317167,99.99,NA
"20160502_TANK11.csv",2171.45526263521,100,NA
"20160502_TANK12.csv",2171.58090984443,100.12,NA
"20160502_TANK13.csv",2176.78749620605,100,NA
"20160502_TANK14.csv",2169.61056606246,100.02,NA
"20160502_TANK15.csv",2172.93840045437,100.04,NA
"20160502_TANK16.csv",2175.21639812555,100.22,NA
"20160502_TANK17.csv",2171.8864678622,100.02,NA
"20160502_TANK18.csv",2166.10469654971,100,NA
"20160502mass.csv",NA,NA,NA
"TA 20160502 .csv",NA,NA,NA
