"Names","TA","Mass"
"20160804_CRM.csv",2203.04431630243,100.02,NA
"20160804_TANK10.csv",2139.79552750629,99.99,NA
"20160804_TANK11.csv",2155.08833152224,100,NA
"20160804_TANK12.csv",2158.18580126389,100.01,NA
"20160804_TANK13.csv",2158.47410461299,100.02,NA
"20160804_TANK14.csv",2148.13740179401,99.97,NA
"20160804_TANK15.csv",2148.31656308343,100,NA
"20160804_TANK16.csv",2151.20658140639,100.07,NA
"20160804_TANK17.csv",2161.63572434936,99.98,NA
"20160804_TANK18.csv",2148.03003818848,100.03,NA
"20160804mass.csv",NA,NA,NA
"TA 20160804 .csv",NA,NA,NA
