Site Name 	TANKS			
Site Number 	1			
Logger 	Integrating Light Sensor			
Logger Serial Number 	6382			
				
				
Scan No 	Date and Time	       Integrating Light	        	
        	        	RAW VALUE 	CALIBRATED VALUE	
				
1	4/3/2016	 13:15:00	2296	2296
2	4/3/2016	 13:30:00	1986	1986
3	4/3/2016	 13:45:00	2058	2058
4	4/3/2016	 14:00:00	3776	3776
5	4/3/2016	 14:15:00	5135	5135
6	4/3/2016	 14:30:00	5706	5706
7	4/3/2016	 14:45:00	5155	5155
8	4/3/2016	 15:00:00	4630	4630
9	4/3/2016	 15:15:00	4186	4186
10	4/3/2016	 15:30:00	3897	3897
11	4/3/2016	 15:45:00	2321	2321
12	4/3/2016	 16:00:00	1062	1062
13	4/3/2016	 16:15:00	884	884
14	4/3/2016	 16:30:00	1214	1214
15	4/3/2016	 16:45:00	882	882
16	4/3/2016	 17:00:00	932	932
17	4/3/2016	 17:15:00	686	686
18	4/3/2016	 17:30:00	365	365
19	4/3/2016	 17:45:00	239	239
20	4/3/2016	 18:00:00	165	165
21	4/3/2016	 18:15:00	87	87
22	4/3/2016	 18:30:00	39	39
23	4/3/2016	 18:45:00	9	9
24	4/3/2016	 19:00:00	0	0
25	4/3/2016	 19:15:00	0	0
26	4/3/2016	 19:30:00	0	0
27	4/3/2016	 19:45:00	0	0
28	4/3/2016	 20:00:00	0	0
29	4/3/2016	 20:15:00	0	0
30	4/3/2016	 20:30:00	0	0
31	4/3/2016	 20:45:00	0	0
32	4/3/2016	 21:00:00	0	0
33	4/3/2016	 21:15:00	0	0
34	4/3/2016	 21:30:00	0	0
35	4/3/2016	 21:45:00	0	0
36	4/3/2016	 22:00:00	0	0
37	4/3/2016	 22:15:00	0	0
38	4/3/2016	 22:30:00	0	0
39	4/3/2016	 22:45:00	0	0
40	4/3/2016	 23:00:00	0	0
41	4/3/2016	 23:15:00	0	0
42	4/3/2016	 23:30:00	0	0
43	4/3/2016	 23:45:00	0	0
44	4/3/2016	 24:00:00	0	0
45	5/3/2016	 00:15:00	0	0
46	5/3/2016	 00:30:00	0	0
47	5/3/2016	 00:45:00	0	0
48	5/3/2016	 01:00:00	0	0
49	5/3/2016	 01:15:00	0	0
50	5/3/2016	 01:30:00	0	0
51	5/3/2016	 01:45:00	0	0
52	5/3/2016	 02:00:00	0	0
53	5/3/2016	 02:15:00	0	0
54	5/3/2016	 02:30:00	0	0
55	5/3/2016	 02:45:00	0	0
56	5/3/2016	 03:00:00	0	0
57	5/3/2016	 03:15:00	0	0
58	5/3/2016	 03:30:00	0	0
59	5/3/2016	 03:45:00	0	0
60	5/3/2016	 04:00:00	0	0
61	5/3/2016	 04:15:00	0	0
62	5/3/2016	 04:30:00	0	0
63	5/3/2016	 04:45:00	0	0
64	5/3/2016	 05:00:00	0	0
65	5/3/2016	 05:15:00	0	0
66	5/3/2016	 05:30:00	0	0
67	5/3/2016	 05:45:00	0	0
68	5/3/2016	 06:00:00	0	0
69	5/3/2016	 06:15:00	0	0
70	5/3/2016	 06:30:00	0	0
71	5/3/2016	 06:45:00	1	1
72	5/3/2016	 07:00:00	20	20
73	5/3/2016	 07:15:00	67	67
74	5/3/2016	 07:30:00	146	146
75	5/3/2016	 07:45:00	172	172
76	5/3/2016	 08:00:00	192	192
77	5/3/2016	 08:15:00	245	245
78	5/3/2016	 08:30:00	280	280
79	5/3/2016	 08:45:00	551	551
80	5/3/2016	 09:00:00	800	800
81	5/3/2016	 09:15:00	879	879
82	5/3/2016	 09:30:00	1151	1151
83	5/3/2016	 09:45:00	1231	1231
84	5/3/2016	 10:00:00	1361	1361
85	5/3/2016	 10:15:00	1854	1854
86	5/3/2016	 10:30:00	2199	2199
87	5/3/2016	 10:45:00	2904	2904
88	5/3/2016	 11:00:00	3236	3236
89	5/3/2016	 11:15:00	3452	3452
90	5/3/2016	 11:30:00	3273	3273
91	5/3/2016	 11:45:00	4690	4690
92	5/3/2016	 12:00:00	4885	4885
93	5/3/2016	 12:15:00	5444	5444
94	5/3/2016	 12:30:00	4114	4114
95	5/3/2016	 12:45:00	4170	4170
96	5/3/2016	 13:00:00	5568	5568
97	5/3/2016	 13:15:00	5664	5664
98	5/3/2016	 13:30:00	5539	5539
99	5/3/2016	 13:45:00	4169	4169
100	5/3/2016	 14:00:00	3804	3804
101	5/3/2016	 14:15:00	5351	5351
102	5/3/2016	 14:30:00	4819	4819
103	5/3/2016	 14:45:00	3965	3965
104	5/3/2016	 15:00:00	4462	4462
105	5/3/2016	 15:15:00	2777	2777
106	5/3/2016	 15:30:00	1884	1884
107	5/3/2016	 15:45:00	1243	1243
108	5/3/2016	 16:00:00	1299	1299
109	5/3/2016	 16:15:00	1181	1181
110	5/3/2016	 16:30:00	951	951
111	5/3/2016	 16:45:00	1023	1023
112	5/3/2016	 17:00:00	760	760
113	5/3/2016	 17:15:00	361	361
114	5/3/2016	 17:30:00	239	239
115	5/3/2016	 17:45:00	204	204
116	5/3/2016	 18:00:00	174	174
117	5/3/2016	 18:15:00	76	76
118	5/3/2016	 18:30:00	40	40
119	5/3/2016	 18:45:00	16	16
120	5/3/2016	 19:00:00	1	1
121	5/3/2016	 19:15:00	0	0
122	5/3/2016	 19:30:00	0	0
123	5/3/2016	 19:45:00	0	0
124	5/3/2016	 20:00:00	0	0
125	5/3/2016	 20:15:00	0	0
126	5/3/2016	 20:30:00	0	0
127	5/3/2016	 20:45:00	0	0
128	5/3/2016	 21:00:00	0	0
129	5/3/2016	 21:15:00	0	0
130	5/3/2016	 21:30:00	0	0
131	5/3/2016	 21:45:00	0	0
132	5/3/2016	 22:00:00	0	0
133	5/3/2016	 22:15:00	0	0
134	5/3/2016	 22:30:00	0	0
135	5/3/2016	 22:45:00	0	0
136	5/3/2016	 23:00:00	0	0
137	5/3/2016	 23:15:00	0	0
138	5/3/2016	 23:30:00	0	0
139	5/3/2016	 23:45:00	0	0
140	5/3/2016	 24:00:00	0	0
141	6/3/2016	 00:15:00	0	0
142	6/3/2016	 00:30:00	0	0
143	6/3/2016	 00:45:00	0	0
144	6/3/2016	 01:00:00	0	0
145	6/3/2016	 01:15:00	0	0
146	6/3/2016	 01:30:00	0	0
147	6/3/2016	 01:45:00	0	0
148	6/3/2016	 02:00:00	0	0
149	6/3/2016	 02:15:00	0	0
150	6/3/2016	 02:30:00	0	0
151	6/3/2016	 02:45:00	0	0
152	6/3/2016	 03:00:00	0	0
153	6/3/2016	 03:15:00	0	0
154	6/3/2016	 03:30:00	0	0
155	6/3/2016	 03:45:00	0	0
156	6/3/2016	 04:00:00	0	0
157	6/3/2016	 04:15:00	0	0
158	6/3/2016	 04:30:00	0	0
159	6/3/2016	 04:45:00	0	0
160	6/3/2016	 05:00:00	0	0
161	6/3/2016	 05:15:00	0	0
162	6/3/2016	 05:30:00	0	0
163	6/3/2016	 05:45:00	0	0
164	6/3/2016	 06:00:00	0	0
165	6/3/2016	 06:15:00	0	0
166	6/3/2016	 06:30:00	0	0
167	6/3/2016	 06:45:00	1	1
168	6/3/2016	 07:00:00	21	21
169	6/3/2016	 07:15:00	58	58
170	6/3/2016	 07:30:00	146	146
171	6/3/2016	 07:45:00	144	144
172	6/3/2016	 08:00:00	181	181
173	6/3/2016	 08:15:00	229	229
174	6/3/2016	 08:30:00	370	370
175	6/3/2016	 08:45:00	452	452
176	6/3/2016	 09:00:00	756	756
177	6/3/2016	 09:15:00	867	867
178	6/3/2016	 09:30:00	814	814
179	6/3/2016	 09:45:00	452	452
180	6/3/2016	 10:00:00	458	458
181	6/3/2016	 10:15:00	608	608
182	6/3/2016	 10:30:00	540	540
183	6/3/2016	 10:45:00	504	504
184	6/3/2016	 11:00:00	880	880
185	6/3/2016	 11:15:00	1123	1123
186	6/3/2016	 11:30:00	2943	2943
187	6/3/2016	 11:45:00	5067	5067
188	6/3/2016	 12:00:00	2658	2658
189	6/3/2016	 12:15:00	1411	1411
190	6/3/2016	 12:30:00	1186	1186
191	6/3/2016	 12:45:00	1813	1813
192	6/3/2016	 13:00:00	1005	1005
193	6/3/2016	 13:15:00	1804	1804
194	6/3/2016	 13:30:00	4213	4213
195	6/3/2016	 13:45:00	3874	3874
196	6/3/2016	 14:00:00	2323	2323
197	6/3/2016	 14:15:00	2405	2405
198	6/3/2016	 14:30:00	1609	1609
199	6/3/2016	 14:45:00	644	644
200	6/3/2016	 15:00:00	651	651
201	6/3/2016	 15:15:00	1198	1198
202	6/3/2016	 15:30:00	1168	1168
203	6/3/2016	 15:45:00	764	764
204	6/3/2016	 16:00:00	1275	1275
205	6/3/2016	 16:15:00	1078	1078
206	6/3/2016	 16:30:00	1359	1359
207	6/3/2016	 16:45:00	808	808
208	6/3/2016	 17:00:00	913	913
209	6/3/2016	 17:15:00	819	819
210	6/3/2016	 17:30:00	912	912
211	6/3/2016	 17:45:00	316	316
212	6/3/2016	 18:00:00	285	285
213	6/3/2016	 18:15:00	175	175
214	6/3/2016	 18:30:00	71	71
215	6/3/2016	 18:45:00	22	22
216	6/3/2016	 19:00:00	1	1
217	6/3/2016	 19:15:00	0	0
218	6/3/2016	 19:30:00	0	0
219	6/3/2016	 19:45:00	0	0
220	6/3/2016	 20:00:00	0	0
221	6/3/2016	 20:15:00	0	0
222	6/3/2016	 20:30:00	0	0
223	6/3/2016	 20:45:00	0	0
224	6/3/2016	 21:00:00	0	0
225	6/3/2016	 21:15:00	0	0
226	6/3/2016	 21:30:00	0	0
227	6/3/2016	 21:45:00	0	0
228	6/3/2016	 22:00:00	0	0
229	6/3/2016	 22:15:00	0	0
230	6/3/2016	 22:30:00	0	0
231	6/3/2016	 22:45:00	0	0
232	6/3/2016	 23:00:00	0	0
233	6/3/2016	 23:15:00	0	0
234	6/3/2016	 23:30:00	0	0
235	6/3/2016	 23:45:00	0	0
236	6/3/2016	 24:00:00	0	0
237	7/3/2016	 00:15:00	0	0
238	7/3/2016	 00:30:00	0	0
239	7/3/2016	 00:45:00	0	0
240	7/3/2016	 01:00:00	0	0
241	7/3/2016	 01:15:00	0	0
242	7/3/2016	 01:30:00	0	0
243	7/3/2016	 01:45:00	0	0
244	7/3/2016	 02:00:00	0	0
245	7/3/2016	 02:15:00	0	0
246	7/3/2016	 02:30:00	0	0
247	7/3/2016	 02:45:00	0	0
248	7/3/2016	 03:00:00	0	0
249	7/3/2016	 03:15:00	0	0
250	7/3/2016	 03:30:00	0	0
251	7/3/2016	 03:45:00	0	0
252	7/3/2016	 04:00:00	0	0
253	7/3/2016	 04:15:00	0	0
254	7/3/2016	 04:30:00	0	0
255	7/3/2016	 04:45:00	0	0
256	7/3/2016	 05:00:00	0	0
257	7/3/2016	 05:15:00	0	0
258	7/3/2016	 05:30:00	0	0
259	7/3/2016	 05:45:00	0	0
260	7/3/2016	 06:00:00	0	0
261	7/3/2016	 06:15:00	0	0
262	7/3/2016	 06:30:00	0	0
263	7/3/2016	 06:45:00	1	1
264	7/3/2016	 07:00:00	25	25
265	7/3/2016	 07:15:00	86	86
266	7/3/2016	 07:30:00	176	176
267	7/3/2016	 07:45:00	243	243
268	7/3/2016	 08:00:00	310	310
269	7/3/2016	 08:15:00	402	402
270	7/3/2016	 08:30:00	396	396
271	7/3/2016	 08:45:00	492	492
272	7/3/2016	 09:00:00	671	671
273	7/3/2016	 09:15:00	767	767
274	7/3/2016	 09:30:00	801	801
275	7/3/2016	 09:45:00	1369	1369
276	7/3/2016	 10:00:00	1579	1579
277	7/3/2016	 10:15:00	1667	1667
278	7/3/2016	 10:30:00	2130	2130
279	7/3/2016	 10:45:00	2877	2877
280	7/3/2016	 11:00:00	3588	3588
281	7/3/2016	 11:15:00	3941	3941
282	7/3/2016	 11:30:00	4395	4395
283	7/3/2016	 11:45:00	5038	5038
284	7/3/2016	 12:00:00	4825	4825
285	7/3/2016	 12:15:00	5129	5129
286	7/3/2016	 12:30:00	3777	3777
287	7/3/2016	 12:45:00	3407	3407
288	7/3/2016	 13:00:00	4294	4294
289	7/3/2016	 13:15:00	4806	4806
290	7/3/2016	 13:30:00	4778	4778
291	7/3/2016	 13:45:00	3013	3013
292	7/3/2016	 14:00:00	2394	2394
293	7/3/2016	 14:15:00	2079	2079
294	7/3/2016	 14:30:00	2943	2943
295	7/3/2016	 14:45:00	2475	2475
296	7/3/2016	 15:00:00	2672	2672
297	7/3/2016	 15:15:00	1449	1449
298	7/3/2016	 15:30:00	1639	1639
299	7/3/2016	 15:45:00	1297	1297
300	7/3/2016	 16:00:00	1108	1108
301	7/3/2016	 16:15:00	1050	1050
302	7/3/2016	 16:30:00	751	751
303	7/3/2016	 16:45:00	764	764
304	7/3/2016	 17:00:00	951	951
305	7/3/2016	 17:15:00	1120	1120
306	7/3/2016	 17:30:00	585	585
307	7/3/2016	 17:45:00	355	355
308	7/3/2016	 18:00:00	245	245
309	7/3/2016	 18:15:00	158	158
310	7/3/2016	 18:30:00	78	78
311	7/3/2016	 18:45:00	18	18
312	7/3/2016	 19:00:00	2	2
313	7/3/2016	 19:15:00	0	0
314	7/3/2016	 19:30:00	0	0
315	7/3/2016	 19:45:00	0	0
316	7/3/2016	 20:00:00	0	0
317	7/3/2016	 20:15:00	0	0
318	7/3/2016	 20:30:00	0	0
319	7/3/2016	 20:45:00	0	0
320	7/3/2016	 21:00:00	0	0
321	7/3/2016	 21:15:00	0	0
322	7/3/2016	 21:30:00	0	0
323	7/3/2016	 21:45:00	0	0
324	7/3/2016	 22:00:00	0	0
325	7/3/2016	 22:15:00	0	0
326	7/3/2016	 22:30:00	0	0
327	7/3/2016	 22:45:00	0	0
328	7/3/2016	 23:00:00	0	0
329	7/3/2016	 23:15:00	0	0
330	7/3/2016	 23:30:00	0	0
331	7/3/2016	 23:45:00	0	0
332	7/3/2016	 24:00:00	0	0
333	8/3/2016	 00:15:00	0	0
334	8/3/2016	 00:30:00	0	0
335	8/3/2016	 00:45:00	0	0
336	8/3/2016	 01:00:00	0	0
337	8/3/2016	 01:15:00	0	0
338	8/3/2016	 01:30:00	0	0
339	8/3/2016	 01:45:00	0	0
340	8/3/2016	 02:00:00	0	0
341	8/3/2016	 02:15:00	0	0
342	8/3/2016	 02:30:00	0	0
343	8/3/2016	 02:45:00	0	0
344	8/3/2016	 03:00:00	0	0
345	8/3/2016	 03:15:00	0	0
346	8/3/2016	 03:30:00	0	0
347	8/3/2016	 03:45:00	0	0
348	8/3/2016	 04:00:00	0	0
349	8/3/2016	 04:15:00	0	0
350	8/3/2016	 04:30:00	0	0
351	8/3/2016	 04:45:00	0	0
352	8/3/2016	 05:00:00	0	0
353	8/3/2016	 05:15:00	0	0
354	8/3/2016	 05:30:00	0	0
355	8/3/2016	 05:45:00	0	0
356	8/3/2016	 06:00:00	0	0
357	8/3/2016	 06:15:00	0	0
358	8/3/2016	 06:30:00	0	0
359	8/3/2016	 06:45:00	0	0
360	8/3/2016	 07:00:00	12	12
361	8/3/2016	 07:15:00	25	25
362	8/3/2016	 07:30:00	67	67
363	8/3/2016	 07:45:00	184	184
364	8/3/2016	 08:00:00	179	179
365	8/3/2016	 08:15:00	359	359
366	8/3/2016	 08:30:00	554	554
367	8/3/2016	 08:45:00	615	615
368	8/3/2016	 09:00:00	578	578
369	8/3/2016	 09:15:00	918	918
370	8/3/2016	 09:30:00	753	753
371	8/3/2016	 09:45:00	971	971
372	8/3/2016	 10:00:00	1040	1040
373	8/3/2016	 10:15:00	1739	1739
374	8/3/2016	 10:30:00	1863	1863
375	8/3/2016	 10:45:00	2541	2541
376	8/3/2016	 11:00:00	2609	2609
377	8/3/2016	 11:15:00	3908	3908
378	8/3/2016	 11:30:00	2183	2183
379	8/3/2016	 11:45:00	2141	2141
380	8/3/2016	 12:00:00	2459	2459
381	8/3/2016	 12:15:00	1805	1805
382	8/3/2016	 12:30:00	1722	1722
383	8/3/2016	 12:45:00	783	783
384	8/3/2016	 13:00:00	1030	1030
385	8/3/2016	 13:15:00	1293	1293
386	8/3/2016	 13:30:00	1091	1091
387	8/3/2016	 13:45:00	758	758
388	8/3/2016	 14:00:00	702	702
389	8/3/2016	 14:15:00	1129	1129
390	8/3/2016	 14:30:00	1287	1287
391	8/3/2016	 14:45:00	1061	1061
392	8/3/2016	 15:00:00	851	851
393	8/3/2016	 15:15:00	981	981
394	8/3/2016	 15:30:00	1134	1134
395	8/3/2016	 15:45:00	1212	1212
396	8/3/2016	 16:00:00	868	868
397	8/3/2016	 16:15:00	730	730
398	8/3/2016	 16:30:00	848	848
399	8/3/2016	 16:45:00	739	739
400	8/3/2016	 17:00:00	460	460
401	8/3/2016	 17:15:00	192	192
402	8/3/2016	 17:30:00	126	126
403	8/3/2016	 17:45:00	48	48
404	8/3/2016	 18:00:00	38	38
405	8/3/2016	 18:15:00	37	37
406	8/3/2016	 18:30:00	26	26
407	8/3/2016	 18:45:00	7	7
408	8/3/2016	 19:00:00	1	1
409	8/3/2016	 19:15:00	0	0
410	8/3/2016	 19:30:00	0	0
411	8/3/2016	 19:45:00	0	0
412	8/3/2016	 20:00:00	0	0
413	8/3/2016	 20:15:00	0	0
414	8/3/2016	 20:30:00	0	0
415	8/3/2016	 20:45:00	0	0
416	8/3/2016	 21:00:00	0	0
417	8/3/2016	 21:15:00	0	0
418	8/3/2016	 21:30:00	0	0
419	8/3/2016	 21:45:00	0	0
420	8/3/2016	 22:00:00	0	0
421	8/3/2016	 22:15:00	0	0
422	8/3/2016	 22:30:00	0	0
423	8/3/2016	 22:45:00	0	0
424	8/3/2016	 23:00:00	0	0
425	8/3/2016	 23:15:00	0	0
426	8/3/2016	 23:30:00	0	0
427	8/3/2016	 23:45:00	0	0
428	8/3/2016	 24:00:00	0	0
429	9/3/2016	 00:15:00	0	0
430	9/3/2016	 00:30:00	0	0
431	9/3/2016	 00:45:00	0	0
432	9/3/2016	 01:00:00	0	0
433	9/3/2016	 01:15:00	0	0
434	9/3/2016	 01:30:00	0	0
435	9/3/2016	 01:45:00	0	0
436	9/3/2016	 02:00:00	0	0
