"Names","TA","Mass"
"20160324_CRM.csv",2210.42663450626,100,NA
"20160324_TANK10.csv",2202.68251502671,100.12,NA
"20160324_TANK11.csv",2188.9632719655,99.98,NA
"20160324_TANK12.csv",2204.55163402152,100,NA
"20160324_TANK13.csv",2196.66742609618,99.98,NA
"20160324_TANK14.csv",2195.1567300652,100.02,NA
"20160324_TANK15.csv",2190.09737606319,100.54,NA
"20160324_TANK16.csv",2195.62002285141,100.03,NA
"20160324_TANK17.csv",2197.51438215662,100.21,NA
"20160324_TANK18.csv",2189.25921030003,100.1,NA
"20160324mass.csv",NA,NA,NA
"TA 20160324 .csv",NA,NA,NA
