"Names","TA","Mass"
"20160505_CRM.csv",2189.62738511183,99.97,NA
"20160505_TANK10.csv",2138.91546422387,99.97,NA
"20160505_TANK11.csv",2150.05850681665,99.95,NA
"20160505_TANK12.csv",2149.39187464702,99.99,NA
"20160505_TANK13.csv",2142.88852588529,99.99,NA
"20160505_TANK14.csv",2140.08372871881,99.99,NA
"20160505_TANK15.csv",2141.27075612356,100.04,NA
"20160505_TANK16.csv",2144.45423992469,100.21,NA
"20160505_TANK17.csv",2148.33282588329,100.05,NA
"20160505_TANK18.csv",2136.69417657191,99.92,NA
"20160505mass.csv",NA,NA,NA
