Tank,Mass,Salinity
20160505_CRM,99.97,32.985
20160505_TANK10,99.97,33.9
20160505_TANK11,99.95,33.8
20160505_TANK12,99.99,33.8
20160505_TANK13,99.99,33.7
20160505_TANK14,99.99,33.3
20160505_TANK15,100.04,33.5
20160505_TANK16,100.21,33.7
20160505_TANK17,100.05,33.6
20160505_TANK18,99.92,33.6
