Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 7/9",,,,
Measured Values,,"Scope 1/1, Sample 7/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,54.0,,21.1,,
28,0.0400,-31.9,0.0400,21.1,-85.9,
58,0.0800,-53.4,0.0400,21.1,-21.5,
61,0.1200,-53.6,0.0400,21.1,-0.2,
68,0.1600,-52.2,0.0400,21.1,1.4,
98,0.2000,-42.7,0.0400,21.1,9.5,
125,0.2400,-35.0,0.0400,21.1,7.7,
147,0.2800,-29.0,0.0400,21.1,6.0,
168,0.3200,-23.7,0.0400,21.1,5.3,
185,0.3600,-19.1,0.0400,21.1,4.6,
200,0.4000,-15.2,0.0400,21.1,3.9,
212,0.4400,-12.5,0.0400,21.1,2.7,
224,0.4800,-9.7,0.0400,21.1,2.8,
232,0.5200,-7.8,0.0400,21.1,1.9,
250,0.5600,-2.8,0.0400,21.2,5.0,
259,0.6000,-0.4,0.0400,21.1,2.4,
262,0.6400,-0.5,0.0400,21.2,-0.1,
271,0.6800,2.2,0.0400,21.1,2.7,
277,0.7200,3.3,0.0400,21.1,1.1,
282,0.7600,4.5,0.0400,21.1,1.2,
286,0.8000,5.7,0.0400,21.1,1.2,
302,0.8400,10.7,0.0400,21.1,5.0,
307,0.8800,13.4,0.0400,21.1,2.7,
312,0.9200,16.2,0.0400,21.1,2.8,
317,0.9600,18.7,0.0400,21.1,2.5,
321,1.0000,20.8,0.0400,21.1,2.1,
325,1.0400,21.7,0.0400,21.1,0.9,
330,1.0800,23.2,0.0400,21.1,1.5,
335,1.1200,24.7,0.0400,21.1,1.5,
340,1.1600,26.5,0.0400,21.1,1.8,
346,1.2000,27.9,0.0400,21.1,1.4,
351,1.2400,30.0,0.0400,21.1,2.1,
357,1.2800,31.2,0.0400,21.1,1.2,
364,1.3200,33.2,0.0400,21.1,2.0,
370,1.3600,35.8,0.0400,21.1,2.6,
376,1.4000,37.6,0.0400,21.1,1.8,
384,1.4400,39.6,0.0400,21.1,2.0,
389,1.4800,42.0,0.0400,21.1,2.4,
394,1.5200,46.5,0.0400,21.1,4.5,
398,1.5600,49.2,0.0400,21.2,2.7,
403,1.6000,53.2,0.0400,21.1,4.0,
407,1.6400,56.9,0.0400,21.1,3.7,
411,1.6800,58.5,0.0400,21.1,1.6,
416,1.7200,61.2,0.0400,21.2,2.7,
420,1.7600,63.9,0.0400,21.1,2.7,
425,1.8000,66.2,0.0400,21.1,2.3,
431,1.8400,70.2,0.0400,21.1,4.0,
449,1.8800,76.2,0.0400,21.2,6.0,
453,1.9200,88.4,0.0400,21.1,12.2,
458,1.9600,92.6,0.0400,21.2,4.2,
464,2.0000,97.9,0.0400,21.1,5.3,
490,2.0400,109.6,0.0400,21.1,11.7,
510,2.0800,124.1,0.0400,21.2,14.5,
526,2.1200,140.6,0.0400,21.2,16.5,368.94
542,2.1600,155.1,0.0400,21.1,14.5,337.78
549,2.2000,165.9,0.0400,21.1,10.8,267.10
554,2.2400,173.5,0.0400,21.1,7.6,195.14
560,2.2800,180.2,0.0400,21.1,6.7,139.74
685,2.3000,182.7,0.0200,21.1,2.5,122.30
690,2.3200,184.9,0.0200,21.1,2.2,114.67
695,2.3400,187.2,0.0200,21.1,2.3,108.26
699,2.3600,189.6,0.0200,21.1,2.4,101.14
703,2.3800,191.7,0.0200,21.2,2.1,97.00
708,2.4000,193.1,0.0200,21.1,1.4,86.62
