"Names","TA","Mass"
"20160509_CRM.csv",2215.84905038077,99.98,NA
"20160509_TANK10.csv",2106.78380606558,99.96,NA
"20160509_TANK11.csv",2120.60582674453,100.04,NA
"20160509_TANK12.csv",2115.41891691286,100,NA
"20160509_TANK13.csv",2107.59352170844,100.04,NA
"20160509_TANK14.csv",2113.56832355944,100.06,NA
"20160509_TANK15.csv",2103.0445078025,100.05,NA
"20160509_TANK16.csv",2115.01306259216,99.98,NA
"20160509_TANK17.csv",2118.55094645245,99.99,NA
"20160509_TANK18.csv",2107.13737048481,100,NA
"20160509mass.csv",NA,NA,NA
