Fragment.ID,History,Treatment,Chamber.Vol.mL,Sample.Displacement.ml,Pnet_umol/L/min,Rdark_umol/L/min,Blank_Pnet_umol/L/m,Blank_Rdark_umol/L/m
A028,Nonbleached,Ambient,4337,13,0.7261,-0.3478,0.0606,-0.0233
A067,Bleached,Ambient,4340,13,0.5701,-0.3022,0.0606,-0.0233
A069,Bleached,High,4248,16,0.6535,-0.2773,-0.0401,0.0003
A085,Bleached,High,4309,11,1.4346,-0.4273,-0.0401,0.0003
A087,Bleached,Ambient,4141,13,1.118,-0.5517,0.0606,-0.0233
A091,Bleached,Ambient,4228,13,1.2915,-0.8356,0.0606,-0.0233
A097,Bleached,High,4310,23,1.299,-0.5119,-0.0401,0.0003
A100,Nonbleached,High,4266,14,1.304,-0.5051,-0.0401,0.0003
A101,Nonbleached,High,4325,14,0.7607,-0.3193,-0.0401,0.0003
A105,Nonbleached,Ambient,4104,15,1.1793,-0.7359,0.0606,-0.0233
A106,Nonbleached,High,4322,13,0.5835,-0.2728,-0.0401,0.0003
A107,Nonbleached,Ambient,4245,14,1.5084,-0.5394,0.0606,-0.0233
A110,Bleached,Ambient,4308,21,0.6833,-0.3398,0.0606,-0.0233
A111,Bleached,High,4296,24,1.3031,-0.4919,-0.0401,0.0003
A114,Bleached,Ambient,4314,32,1.0414,-0.3706,0.0606,-0.0233
A115,Bleached,High,4360,14,0.536,-0.1656,-0.0401,0.0003
A119,Nonbleached,Ambient,4318,16,1.0448,-0.3248,0.0606,-0.0233
A120,Nonbleached,High,4348,11,0.8114,-0.2189,-0.0401,0.0003
A123,Nonbleached,High,4376,19,0.8967,-0.3116,-0.0401,0.0003
A125,Nonbleached,Ambient,4363,16,0.6334,-0.3189,0.0606,-0.0233
