Tank,Mass,Salinity
20160711_CRM,100.06,33.331
20160711_TANK10,100.09,33.9
20160711_TANK11,99.97,33.9
20160711_TANK12,100,33.9
20160711_TANK13,100.01,33.8
20160711_TANK14,100.01,33.7
20160711_TANK15,99.95,33.8
20160711_TANK16,100.01,34
20160711_TANK17,100.02,33.9
20160711_TANK18,100.04,33.9
20160711_S1,99.98,33.7
20160711_S2,99.99,33.8
20160711_S3,99.9,33.8
20160711_S4,99.96,33.9
20160711_S26,99.96,34
20160711_S27,100,34.1
20160711_S28,100,34
20160711_TANK4,99.98,34.4
20160711_TANK5,99.92,33.9
20160711_TANK6,99.92,34.3
20160711_TANK8,99.94,34
20160711_TANK9,99.92,34.3
