Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 5/9",,,,
Measured Values,,"Scope 1/1, Sample 5/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,75.0,,23.6,,
28,0.0400,13.2,0.0400,23.6,-61.8,
58,0.0800,-16.1,0.0400,23.6,-29.3,
84,0.1200,-24.8,0.0400,23.6,-8.7,
88,0.1600,-24.9,0.0400,23.6,-0.1,
92,0.2000,-24.2,0.0400,23.6,0.7,
114,0.2400,-19.1,0.0400,23.6,5.1,
126,0.2800,-15.7,0.0400,23.6,3.4,
139,0.3200,-12.6,0.0400,23.6,3.1,
151,0.3600,-9.7,0.0400,23.6,2.9,
158,0.4000,-8.1,0.0400,23.6,1.6,
176,0.4400,-3.0,0.0400,23.5,5.1,
185,0.4800,-0.5,0.0400,23.5,2.5,
188,0.5200,-0.7,0.0400,23.6,-0.2,
196,0.5600,2.0,0.0400,23.6,2.7,
201,0.6000,3.0,0.0400,23.5,1.0,
206,0.6400,4.1,0.0400,23.6,1.1,
210,0.6800,4.9,0.0400,23.5,0.8,
213,0.7200,5.6,0.0400,23.5,0.7,
235,0.7600,11.4,0.0400,23.5,5.8,
243,0.8000,13.1,0.0400,23.5,1.7,
248,0.8400,14.3,0.0400,23.5,1.2,
253,0.8800,15.5,0.0400,23.5,1.2,
260,0.9200,17.4,0.0400,23.5,1.9,
266,0.9600,19.1,0.0400,23.5,1.7,
271,1.0000,21.4,0.0400,23.5,2.3,
278,1.0400,23.3,0.0400,23.5,1.9,
282,1.0800,26.1,0.0400,23.5,2.8,
288,1.1200,27.7,0.0400,23.5,1.6,
293,1.1600,29.4,0.0400,23.5,1.7,
297,1.2000,30.6,0.0400,23.5,1.2,
304,1.2400,32.2,0.0400,23.5,1.6,
313,1.2800,34.3,0.0400,23.5,2.1,
317,1.3200,37.1,0.0400,23.5,2.8,
323,1.3600,39.0,0.0400,23.5,1.9,
328,1.4000,40.6,0.0400,23.5,1.6,
334,1.4400,43.0,0.0400,23.5,2.4,
339,1.4800,45.1,0.0400,23.5,2.1,
345,1.5200,47.2,0.0400,23.5,2.1,
350,1.5600,49.7,0.0400,23.5,2.5,
355,1.6000,52.9,0.0400,23.5,3.2,
360,1.6400,56.3,0.0400,23.5,3.4,
364,1.6800,57.4,0.0400,23.5,1.1,
372,1.7200,60.2,0.0400,23.5,2.8,
385,1.7600,63.8,0.0400,23.5,3.6,
395,1.8000,67.2,0.0400,23.5,3.4,
404,1.8400,71.2,0.0400,23.5,4.0,
408,1.8800,76.8,0.0400,23.5,5.6,
413,1.9200,79.5,0.0400,23.5,2.7,
432,1.9600,85.8,0.0400,23.5,6.3,
448,2.0000,93.1,0.0400,23.5,7.3,
469,2.0400,101.6,0.0400,23.5,8.5,
475,2.0800,113.6,0.0400,23.5,12.0,
501,2.1200,127.0,0.0400,23.5,13.4,
521,2.1600,143.0,0.0400,23.5,16.0,347.93
537,2.2000,156.9,0.0400,23.5,13.9,316.97
547,2.2400,167.2,0.0400,23.5,10.3,258.03
553,2.2800,175.0,0.0400,23.5,7.8,195.19
560,2.3200,181.2,0.0400,23.5,6.2,143.32
686,2.3400,184.4,0.0200,23.4,3.2,128.03
692,2.3600,186.8,0.0200,23.4,2.4,120.88
696,2.3800,189.4,0.0200,23.4,2.6,112.24
700,2.4000,191.7,0.0200,23.4,2.3,100.37
706,2.4200,192.8,0.0200,23.4,1.1,87.43
710,2.4400,195.3,0.0200,23.4,2.5,79.85
