"Names","TA","Mass"
"20160811_CRM.csv",2231.48892391151,99.98,NA
"20160811_TANK10.csv",2142.99316486764,100.12,NA
"20160811_TANK11.csv",2147.28353675956,100.02,NA
"20160811_TANK12.csv",2158.02247584817,99.93,NA
"20160811_TANK13.csv",2143.62517694039,99.86,NA
"20160811_TANK14.csv",2148.37581090949,100.24,NA
"20160811_TANK15.csv",2150.63738313899,99.77,NA
"20160811_TANK16.csv",2158.13975910137,100.05,NA
"20160811_TANK17.csv",2150.63976939122,99.83,NA
"20160811_TANK18.csv",2159.39225240204,99.92,NA
"20160811mass.csv",NA,NA,NA
"TA 20160811 .csv",NA,NA,NA
