Tank,Mass,Salinity
20160215_CRM1,100.07,33.561
20160215_Tank10,100.03,34
20160215_Tank11,100.55,34.1
20160215_Tank12,100.23,34
20160215_Tank13,99.3,34.1
20160215_Tank14,99.01,34.4
20160215_Tank15,99.4,34
20160215_Tank16,99.7,34.3
20160215_Tank17,99.45,34
20160215_Tank18,99.19,34.3
