Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 4/5",,,,
Measured Values,,"Scope 1/1, Sample 4/5",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,50.9,,24.7,,
27,0.0400,-42.6,0.0400,24.7,-93.5,
56,0.0800,-62.4,0.0400,24.7,-19.8,
60,0.1200,-62.5,0.0400,24.7,-0.1,
70,0.1600,-60.6,0.0400,24.7,1.9,
94,0.2000,-53.6,0.0400,24.7,7.0,
117,0.2400,-47.4,0.0400,24.7,6.2,
142,0.2800,-40.9,0.0400,24.7,6.5,
165,0.3200,-34.3,0.0400,24.6,6.6,
188,0.3600,-27.7,0.0400,24.6,6.6,
206,0.4000,-22.5,0.0400,24.6,5.2,
227,0.4400,-17.4,0.0400,24.6,5.1,
244,0.4800,-13.4,0.0400,24.6,4.0,
251,0.5200,-10.4,0.0400,24.6,3.0,
256,0.5600,-8.4,0.0400,24.6,2.0,
275,0.6000,-3.2,0.0400,24.6,5.2,
279,0.6400,-0.5,0.0400,24.6,2.7,
288,0.6800,1.9,0.0400,24.6,2.4,
292,0.7200,2.8,0.0400,24.6,0.9,
297,0.7600,3.7,0.0400,24.6,0.9,
300,0.8000,4.4,0.0400,24.6,0.7,
304,0.8400,5.7,0.0400,24.5,1.3,
324,0.8800,11.4,0.0400,24.5,5.7,
332,0.9200,13.3,0.0400,24.5,1.9,
336,0.9600,16.9,0.0400,24.5,3.6,
341,1.0000,18.0,0.0400,24.5,1.1,
346,1.0400,19.5,0.0400,24.5,1.5,
351,1.0800,21.3,0.0400,24.5,1.8,
358,1.1200,23.0,0.0400,24.5,1.7,
364,1.1600,25.5,0.0400,24.5,2.5,
369,1.2000,27.4,0.0400,24.5,1.9,
373,1.2400,31.8,0.0400,24.5,4.4,
378,1.2800,33.3,0.0400,24.5,1.5,
382,1.3200,35.0,0.0400,24.5,1.7,
387,1.3600,37.0,0.0400,24.5,2.0,
392,1.4000,38.9,0.0400,24.5,1.9,
397,1.4400,40.6,0.0400,24.5,1.7,
402,1.4800,43.3,0.0400,24.5,2.7,
413,1.5200,45.8,0.0400,24.5,2.5,
422,1.5600,48.3,0.0400,24.5,2.5,
427,1.6000,52.1,0.0400,24.5,3.8,
432,1.6400,55.6,0.0400,24.5,3.5,
438,1.6800,57.4,0.0400,24.5,1.8,
443,1.7200,61.1,0.0400,24.5,3.7,
448,1.7600,64.6,0.0400,24.5,3.5,
464,1.8000,69.4,0.0400,24.5,4.8,
469,1.8400,78.3,0.0400,24.5,8.9,
473,1.8800,81.9,0.0400,24.5,3.6,
478,1.9200,85.1,0.0400,24.5,3.2,
508,1.9600,94.3,0.0400,24.5,9.2,
530,2.0000,103.2,0.0400,24.5,8.9,
555,2.0400,114.8,0.0400,24.5,11.6,
580,2.0800,131.0,0.0400,24.4,16.2,
600,2.1200,148.4,0.0400,24.4,17.4,360.15
607,2.1600,161.8,0.0400,24.4,13.4,321.85
614,2.2000,171.2,0.0400,24.4,9.4,250.19
622,2.2400,178.7,0.0400,24.4,7.5,176.41
630,2.2800,184.5,0.0400,24.4,5.8,129.99
754,2.3000,187.9,0.0200,24.3,3.4,120.27
759,2.3200,189.9,0.0200,24.3,2.0,113.63
763,2.3400,192.2,0.0200,24.3,2.3,102.20
766,2.3600,194.2,0.0200,24.3,2.0,89.59
770,2.3800,195.7,0.0200,24.3,1.5,76.65
774,2.4000,197.3,0.0200,24.3,1.6,79.39
779,2.4200,198.5,0.0200,24.3,1.2,75.58
