Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6380


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,17/02/2016 , 11:15:00,1668,1668
2,17/02/2016 , 11:30:00,2604,2604
3,17/02/2016 , 11:45:00,2769,2769
4,17/02/2016 , 12:00:00,1948,1948
5,17/02/2016 , 12:15:00,3073,3073
6,17/02/2016 , 12:30:00,3376,3376
7,17/02/2016 , 12:45:00,3343,3343
8,17/02/2016 , 13:00:00,3314,3314
9,17/02/2016 , 13:15:00,2968,2968
10,17/02/2016 , 13:30:00,2009,2009
11,17/02/2016 , 13:45:00,2268,2268
12,17/02/2016 , 14:00:00,3759,3759
13,17/02/2016 , 14:15:00,2933,2933
14,17/02/2016 , 14:30:00,2399,2399
15,17/02/2016 , 14:45:00,1733,1733
16,17/02/2016 , 15:00:00,2576,2576
17,17/02/2016 , 15:15:00,2039,2039
18,17/02/2016 , 15:30:00,4584,4584
19,17/02/2016 , 15:45:00,3190,3190
20,17/02/2016 , 16:00:00,1290,1290
21,17/02/2016 , 16:15:00,2714,2714
22,17/02/2016 , 16:30:00,1501,1501
23,17/02/2016 , 16:45:00,715,715
24,17/02/2016 , 17:00:00,784,784
25,17/02/2016 , 17:15:00,430,430
26,17/02/2016 , 17:30:00,336,336
27,17/02/2016 , 17:45:00,184,184
28,17/02/2016 , 18:00:00,161,161
29,17/02/2016 , 18:15:00,100,100
30,17/02/2016 , 18:30:00,37,37
31,17/02/2016 , 18:45:00,8,8
32,17/02/2016 , 19:00:00,0,0
33,17/02/2016 , 19:15:00,0,0
34,17/02/2016 , 19:30:00,0,0
35,17/02/2016 , 19:45:00,0,0
36,17/02/2016 , 20:00:00,0,0
37,17/02/2016 , 20:15:00,0,0
38,17/02/2016 , 20:30:00,0,0
39,17/02/2016 , 20:45:00,0,0
40,17/02/2016 , 21:00:00,0,0
41,17/02/2016 , 21:15:00,0,0
42,17/02/2016 , 21:30:00,0,0
43,17/02/2016 , 21:45:00,0,0
44,17/02/2016 , 22:00:00,0,0
45,17/02/2016 , 22:15:00,0,0
46,17/02/2016 , 22:30:00,0,0
47,17/02/2016 , 22:45:00,0,0
48,17/02/2016 , 23:00:00,0,0
49,17/02/2016 , 23:15:00,0,0
50,17/02/2016 , 23:30:00,0,0
51,17/02/2016 , 23:45:00,0,0
52,17/02/2016 , 24:00:00,0,0
53,18/02/2016 , 00:15:00,0,0
54,18/02/2016 , 00:30:00,0,0
55,18/02/2016 , 00:45:00,0,0
56,18/02/2016 , 01:00:00,0,0
57,18/02/2016 , 01:15:00,0,0
58,18/02/2016 , 01:30:00,0,0
59,18/02/2016 , 01:45:00,0,0
60,18/02/2016 , 02:00:00,0,0
61,18/02/2016 , 02:15:00,0,0
62,18/02/2016 , 02:30:00,0,0
63,18/02/2016 , 02:45:00,0,0
64,18/02/2016 , 03:00:00,0,0
65,18/02/2016 , 03:15:00,0,0
66,18/02/2016 , 03:30:00,0,0
67,18/02/2016 , 03:45:00,0,0
68,18/02/2016 , 04:00:00,0,0
69,18/02/2016 , 04:15:00,0,0
70,18/02/2016 , 04:30:00,0,0
71,18/02/2016 , 04:45:00,0,0
72,18/02/2016 , 05:00:00,0,0
73,18/02/2016 , 05:15:00,0,0
74,18/02/2016 , 05:30:00,0,0
75,18/02/2016 , 05:45:00,0,0
76,18/02/2016 , 06:00:00,0,0
77,18/02/2016 , 06:15:00,0,0
78,18/02/2016 , 06:30:00,0,0
79,18/02/2016 , 06:45:00,0,0
80,18/02/2016 , 07:00:00,1,1
81,18/02/2016 , 07:15:00,21,21
82,18/02/2016 , 07:30:00,70,70
83,18/02/2016 , 07:45:00,165,165
84,18/02/2016 , 08:00:00,247,247
85,18/02/2016 , 08:15:00,223,223
86,18/02/2016 , 08:30:00,313,313
87,18/02/2016 , 08:45:00,515,515
88,18/02/2016 , 09:00:00,537,537
89,18/02/2016 , 09:15:00,696,696
90,18/02/2016 , 09:30:00,903,903
91,18/02/2016 , 09:45:00,1853,1853
92,18/02/2016 , 10:00:00,1111,1111
93,18/02/2016 , 10:15:00,1250,1250
94,18/02/2016 , 10:30:00,3000,3000
95,18/02/2016 , 10:45:00,2226,2226
96,18/02/2016 , 11:00:00,1893,1893
97,18/02/2016 , 11:15:00,1529,1529
98,18/02/2016 , 11:30:00,2876,2876
99,18/02/2016 , 11:45:00,3662,3662
100,18/02/2016 , 12:00:00,3351,3351
101,18/02/2016 , 12:15:00,2851,2851
102,18/02/2016 , 12:30:00,2644,2644
103,18/02/2016 , 12:45:00,3020,3020
104,18/02/2016 , 13:00:00,3601,3601
105,18/02/2016 , 13:15:00,2829,2829
106,18/02/2016 , 13:30:00,1990,1990
107,18/02/2016 , 13:45:00,1740,1740
108,18/02/2016 , 14:00:00,3629,3629
