"Names","TA","Mass"
"20160421_CRM.csv",2208.67263154803,100.11,NA
"20160421_TANK10.csv",2151.47971196764,100.04,NA
"20160421_TANK11.csv",2169.08198968596,100.01,NA
"20160421_TANK12.csv",2165.17377045205,99.5,NA
"20160421_TANK13.csv",2165.46785586366,99.96,NA
"20160421_TANK14.csv",2160.76201538133,100.02,NA
"20160421_TANK15.csv",2157.1485499664,99.97,NA
"20160421_TANK16.csv",2155.84075383156,99.66,NA
"20160421_TANK17.csv",2164.89892848352,100.11,NA
"20160421_TANK18.csv",2165.20779281144,99.62,NA
"20160421mass.csv",NA,NA,NA
"TA 20160421 .csv",NA,NA,NA
