Tank,Mass,Salinity
20160613_CRM,100.03,32.985
20160613_TANK2,99.99,33.7
20160613_TANK3,100.26,33.7
20160613_TANK5,99.94,33.9
20160613_TANK6,99.98,33.8
20160613_TANK8,100.02,33.7
20160613_TANK9,100.02,33.8
20160613_TANK10,99.97,33.7
20160613_TANK11,99.99,33.6
20160613_TANK12,100.1,33.6
20160613_TANK13,100.03,33.7
20160613_TANK14,99.98,33.8
20160613_TANK15,100.04,33.8
20160613_TANK16,100.05,33.8
20160613_TANK17,99.99,33.6
20160613_TANK18,99.94,33.6
20160613_S8,99.95,33.7
20160613_S9,100.03,33.5
20160613_S25,100.03,33.8
20160613_S26,100.01,33.6
