Names,TA,Mass,
20160613_CRM.csv,2189.853783,100.03,NA
20160613_S25.csv,2132.66031,100.03,NA
20160613_S26.csv,2129.956004,100.01,NA
20160613_S8.csv,2132.211461,99.95,NA
20160613_S9.csv,2151.957659,100.03,NA
20160613_TANK10.csv,2124.593625,99.97,NA
20160613_TANK11.csv,2126.603395,99.99,NA
20160613_TANK12.csv,2132.237026,100.1,NA
20160613_TANK13.csv,2134.129332,100.03,NA
20160613_TANK14.csv,2120.388396,99.98,NA
20160613_TANK15.csv,2118.363048,100.04,NA
20160613_TANK16.csv,2118.167897,100.05,NA
20160613_TANK17.csv,2118.831444,99.99,NA
20160613_TANK18.csv,2117.34319,99.94,NA
20160613_TANK2.csv,2124.753219,99.99,NA
20160613_TANK3.csv,2116.354322,100.26,NA
20160613_TANK5.csv,2126.691714,99.94,NA
20160613_TANK6.csv,2117.981306,99.98,NA
20160613_TANK8.csv,2109.024332,100.02,NA
20160613_TANK9.csv,2136.091658,100.02,NA
20160613mass.csv,NA,NA,NA
TA 20160613 .csv,NA,NA,NA
