Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 8/9",,,,
Measured Values,,"Scope 1/1, Sample 8/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,54.9,,22.8,,
28,0.0400,-24.5,0.0400,22.8,-79.4,
58,0.0800,-49.4,0.0400,22.7,-24.9,
61,0.1200,-50.1,0.0400,22.8,-0.7,
65,0.1600,-48.9,0.0400,22.8,1.2,
95,0.2000,-41.5,0.0400,22.7,7.4,
120,0.2400,-34.2,0.0400,22.8,7.3,
141,0.2800,-27.9,0.0400,22.7,6.3,
163,0.3200,-22.5,0.0400,22.7,5.4,
181,0.3600,-18.0,0.0400,22.7,4.5,
193,0.4000,-14.3,0.0400,22.7,3.7,
206,0.4400,-11.4,0.0400,22.7,2.9,
214,0.4800,-9.3,0.0400,22.7,2.1,
221,0.5200,-7.7,0.0400,22.7,1.6,
241,0.5600,-2.0,0.0400,22.7,5.7,
246,0.6000,-0.5,0.0400,22.7,1.5,
251,0.6400,2.3,0.0400,22.7,2.8,
256,0.6800,3.4,0.0400,22.7,1.1,
260,0.7200,5.3,0.0400,22.7,1.9,
264,0.7600,6.0,0.0400,22.7,0.7,
280,0.8000,10.9,0.0400,22.7,4.9,
285,0.8400,13.1,0.0400,22.7,2.2,
290,0.8800,15.6,0.0400,22.7,2.5,
294,0.9200,17.1,0.0400,22.7,1.5,
299,0.9600,18.0,0.0400,22.7,0.9,
304,1.0000,20.4,0.0400,22.7,2.4,
309,1.0400,23.8,0.0400,22.7,3.4,
313,1.0800,25.3,0.0400,22.7,1.5,
318,1.1200,27.9,0.0400,22.7,2.6,
322,1.1600,30.3,0.0400,22.7,2.4,
327,1.2000,31.4,0.0400,22.7,1.1,
332,1.2400,33.1,0.0400,22.7,1.7,
338,1.2800,35.2,0.0400,22.7,2.1,
343,1.3200,37.1,0.0400,22.7,1.9,
348,1.3600,43.9,0.0400,22.7,6.8,
352,1.4000,46.0,0.0400,22.7,2.1,
356,1.4400,49.1,0.0400,22.7,3.1,
360,1.4800,50.2,0.0400,22.7,1.1,
364,1.5200,53.0,0.0400,22.7,2.8,
369,1.5600,55.2,0.0400,22.7,2.2,
373,1.6000,58.2,0.0400,22.7,3.0,
377,1.6400,61.9,0.0400,22.7,3.7,
382,1.6800,65.2,0.0400,22.7,3.3,
386,1.7200,71.5,0.0400,22.7,6.3,
390,1.7600,73.6,0.0400,22.7,2.1,
394,1.8000,76.9,0.0400,22.7,3.3,
398,1.8400,81.7,0.0400,22.7,4.8,
402,1.8800,85.9,0.0400,22.7,4.2,
407,1.9200,91.0,0.0400,22.7,5.1,
412,1.9600,95.6,0.0400,22.7,4.6,
416,2.0000,105.2,0.0400,22.7,9.6,
421,2.0400,115.2,0.0400,22.7,10.0,
451,2.0800,137.0,0.0400,22.7,21.8,
466,2.1200,151.4,0.0400,22.7,14.4,363.33
470,2.1600,164.2,0.0400,22.7,12.8,303.06
476,2.2000,172.0,0.0400,22.7,7.8,219.99
481,2.2400,179.1,0.0400,22.7,7.1,139.51
486,2.2800,184.1,0.0400,22.7,5.0,117.80
611,2.3000,186.4,0.0200,22.7,2.3,107.50
616,2.3200,188.5,0.0200,22.7,2.1,107.39
620,2.3400,190.7,0.0200,22.7,2.2,99.76
623,2.3600,193.7,0.0200,22.7,3.0,92.71
627,2.3800,194.7,0.0200,22.7,1.0,81.60
631,2.4000,196.0,0.0200,22.7,1.3,73.48
636,2.4200,197.4,0.0200,22.7,1.4,66.34
