Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 7/9",,,,
Measured Values,,"Scope 1/1, Sample 7/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,53.3,,22.8,,
28,0.0400,-28.7,0.0400,22.8,-82.0,
58,0.0800,-51.9,0.0400,22.8,-23.2,
61,0.1200,-52.6,0.0400,22.8,-0.7,
65,0.1600,-52.0,0.0400,22.8,0.6,
95,0.2000,-43.4,0.0400,22.8,8.6,
123,0.2400,-35.6,0.0400,22.8,7.8,
147,0.2800,-29.3,0.0400,22.8,6.3,
168,0.3200,-23.9,0.0400,22.8,5.4,
185,0.3600,-19.4,0.0400,22.8,4.5,
201,0.4000,-15.4,0.0400,22.8,4.0,
211,0.4400,-12.3,0.0400,22.8,3.1,
223,0.4800,-9.5,0.0400,22.8,2.8,
228,0.5200,-7.6,0.0400,22.8,1.9,
245,0.5600,-2.3,0.0400,22.8,5.3,
248,0.6000,-0.9,0.0400,22.8,1.4,
253,0.6400,2.3,0.0400,22.8,3.2,
257,0.6800,3.4,0.0400,22.8,1.1,
262,0.7200,6.2,0.0400,22.8,2.8,
275,0.7600,9.2,0.0400,22.8,3.0,
282,0.8000,11.0,0.0400,22.8,1.8,
287,0.8400,12.8,0.0400,22.8,1.8,
292,0.8800,13.8,0.0400,22.8,1.0,
297,0.9200,15.2,0.0400,22.8,1.4,
302,0.9600,19.0,0.0400,22.8,3.8,
306,1.0000,20.4,0.0400,22.8,1.4,
310,1.0400,22.6,0.0400,22.8,2.2,
315,1.0800,25.5,0.0400,22.8,2.9,
319,1.1200,29.4,0.0400,22.8,3.9,
323,1.1600,30.4,0.0400,22.8,1.0,
327,1.2000,31.3,0.0400,22.8,0.9,
332,1.2400,35.0,0.0400,22.8,3.7,
336,1.2800,37.5,0.0400,22.8,2.5,
340,1.3200,38.8,0.0400,22.8,1.3,
344,1.3600,45.9,0.0400,22.8,7.1,
348,1.4000,47.5,0.0400,22.8,1.6,
351,1.4400,48.5,0.0400,22.8,1.0,
356,1.4800,50.9,0.0400,22.8,2.4,
360,1.5200,53.0,0.0400,22.8,2.1,
364,1.5600,55.6,0.0400,22.8,2.6,
368,1.6000,56.8,0.0400,22.8,1.2,
372,1.6400,59.1,0.0400,22.8,2.3,
376,1.6800,60.7,0.0400,22.8,1.6,
381,1.7200,62.5,0.0400,22.8,1.8,
390,1.7600,65.7,0.0400,22.8,3.2,
395,1.8000,69.8,0.0400,22.8,4.1,
400,1.8400,75.1,0.0400,22.8,5.3,
404,1.8800,84.2,0.0400,22.8,9.1,
409,1.9200,89.5,0.0400,22.8,5.3,
414,1.9600,94.9,0.0400,22.8,5.4,
420,2.0000,102.2,0.0400,22.8,7.3,
450,2.0400,117.0,0.0400,22.8,14.8,
471,2.0800,131.6,0.0400,22.8,14.6,
480,2.1200,146.3,0.0400,22.8,14.7,348.96
484,2.1600,160.6,0.0400,22.8,14.3,301.02
492,2.2000,168.6,0.0400,22.8,8.0,229.47
500,2.2400,176.0,0.0400,22.8,7.4,172.92
506,2.2800,182.1,0.0400,22.8,6.1,128.68
632,2.3000,184.5,0.0200,22.7,2.4,115.12
637,2.3200,187.1,0.0200,22.7,2.6,115.84
641,2.3400,189.2,0.0200,22.8,2.1,106.08
646,2.3600,191.2,0.0200,22.7,2.0,101.64
654,2.3800,192.8,0.0200,22.7,1.6,95.81
658,2.4000,195.3,0.0200,22.7,2.5,82.95
662,2.4200,197.1,0.0200,22.7,1.8,78.81
