Names,TA,Mass,
20160707_CRM.csv,2227.272813,100.06,NA
20160707_S13.csv,2172.038808,100.07,NA
20160707_S14.csv,2167.973446,100.01,NA
20160707_S15.csv,2175.265028,100.03,NA
20160707_S16.csv,2173.143829,99.95,NA
20160707_S31.csv,2168.421,100.05,NA
20160707_S32.csv,2168.712951,99.99,NA
20160707_S33.csv,2167.780642,99.98,NA
20160707_S34.csv,2167.158637,99.96,NA
20160707_Shayle10.csv,2160.755564,99.87,NA
20160707_Shayle11.csv,2158.842475,100.12,NA
20160707_Shayle12.csv,2145.627074,100.17,NA
20160707_Shayle37.csv,2169.840309,99.97,NA
20160707_Shayle38.csv,2163.685268,99.97,NA
20160707_Shayle39.csv,2149.5438,99.98,NA
20160707_Shayle40.csv,2162.179092,99.94,NA
20160707_Shayle41.csv,2179.063413,100.05,NA
20160707_Shayle42.csv,2180.303889,100.03,NA
20160707_Shayle6.csv,2175.470827,100.04,NA
20160707_Shayle8.csv,2166.702496,99.96,NA
20160707mass.csv,NA,NA,NA
TA 20160707 .csv,NA,NA,NA
