Tank,Mass,Salinity
20160707_CRM,100.06,33.331
20160707_S13,100.07,33.8
20160707_S14,100.01,33.8
20160707_S15,100.03,33.9
20160707_S16,99.95,34
20160707_S31,100.05,33.6
20160707_S32,99.99,33.8
20160707_S33,99.98,33.8
20160707_S34,99.96,34
20160707_Shayle41,100.05,33.7
20160707_Shayle40,99.94,33.6
20160707_Shayle37,99.97,34
20160707_Shayle8,99.96,33.8
20160707_Shayle38,99.97,34
20160707_Shayle39,99.98,33.4
20160707_Shayle6,100.04,34
20160707_Shayle42,100.03,34
20160707_Shayle10,99.87,33.7
20160707_Shayle12,100.17,33.3
20160707_Shayle11,100.12,33.4
