Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6377


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/03/2016 , 11:15:00,4074,4074
2,23/03/2016 , 11:30:00,4753,4753
3,23/03/2016 , 11:45:00,2728,2728
4,23/03/2016 , 12:00:00,4454,4454
5,23/03/2016 , 12:15:00,4911,4911
6,23/03/2016 , 12:30:00,5143,5143
7,23/03/2016 , 12:45:00,4989,4989
8,23/03/2016 , 13:00:00,3054,3054
9,23/03/2016 , 13:15:00,2622,2622
10,23/03/2016 , 13:30:00,2411,2411
11,23/03/2016 , 13:45:00,2089,2089
12,23/03/2016 , 14:00:00,3510,3510
13,23/03/2016 , 14:15:00,1657,1657
14,23/03/2016 , 14:30:00,1683,1683
15,23/03/2016 , 14:45:00,1730,1730
16,23/03/2016 , 15:00:00,1675,1675
17,23/03/2016 , 15:15:00,1847,1847
18,23/03/2016 , 15:30:00,1327,1327
19,23/03/2016 , 15:45:00,1233,1233
20,23/03/2016 , 16:00:00,972,972
21,23/03/2016 , 16:15:00,812,812
22,23/03/2016 , 16:30:00,462,462
23,23/03/2016 , 16:45:00,453,453
24,23/03/2016 , 17:00:00,392,392
25,23/03/2016 , 17:15:00,321,321
26,23/03/2016 , 17:30:00,326,326
27,23/03/2016 , 17:45:00,184,184
28,23/03/2016 , 18:00:00,137,137
29,23/03/2016 , 18:15:00,116,116
30,23/03/2016 , 18:30:00,70,70
31,23/03/2016 , 18:45:00,28,28
32,23/03/2016 , 19:00:00,3,3
33,23/03/2016 , 19:15:00,0,0
34,23/03/2016 , 19:30:00,0,0
35,23/03/2016 , 19:45:00,0,0
36,23/03/2016 , 20:00:00,0,0
37,23/03/2016 , 20:15:00,0,0
38,23/03/2016 , 20:30:00,0,0
39,23/03/2016 , 20:45:00,0,0
40,23/03/2016 , 21:00:00,0,0
41,23/03/2016 , 21:15:00,0,0
42,23/03/2016 , 21:30:00,0,0
43,23/03/2016 , 21:45:00,0,0
44,23/03/2016 , 22:00:00,0,0
45,23/03/2016 , 22:15:00,0,0
46,23/03/2016 , 22:30:00,0,0
47,23/03/2016 , 22:45:00,0,0
48,23/03/2016 , 23:00:00,0,0
49,23/03/2016 , 23:15:00,0,0
50,23/03/2016 , 23:30:00,0,0
51,23/03/2016 , 23:45:00,0,0
52,23/03/2016 , 24:00:00,0,0
53,24/03/2016 , 00:15:00,0,0
54,24/03/2016 , 00:30:00,0,0
55,24/03/2016 , 00:45:00,0,0
56,24/03/2016 , 01:00:00,0,0
57,24/03/2016 , 01:15:00,0,0
58,24/03/2016 , 01:30:00,0,0
59,24/03/2016 , 01:45:00,0,0
60,24/03/2016 , 02:00:00,0,0
61,24/03/2016 , 02:15:00,0,0
62,24/03/2016 , 02:30:00,0,0
63,24/03/2016 , 02:45:00,0,0
64,24/03/2016 , 03:00:00,0,0
65,24/03/2016 , 03:15:00,0,0
66,24/03/2016 , 03:30:00,0,0
67,24/03/2016 , 03:45:00,0,0
68,24/03/2016 , 04:00:00,0,0
69,24/03/2016 , 04:15:00,0,0
70,24/03/2016 , 04:30:00,0,0
71,24/03/2016 , 04:45:00,0,0
72,24/03/2016 , 05:00:00,0,0
73,24/03/2016 , 05:15:00,0,0
74,24/03/2016 , 05:30:00,0,0
75,24/03/2016 , 05:45:00,0,0
76,24/03/2016 , 06:00:00,0,0
77,24/03/2016 , 06:15:00,0,0
78,24/03/2016 , 06:30:00,1,1
79,24/03/2016 , 06:45:00,18,18
80,24/03/2016 , 07:00:00,60,60
81,24/03/2016 , 07:15:00,118,118
82,24/03/2016 , 07:30:00,179,179
83,24/03/2016 , 07:45:00,245,245
84,24/03/2016 , 08:00:00,338,338
85,24/03/2016 , 08:15:00,472,472
86,24/03/2016 , 08:30:00,639,639
87,24/03/2016 , 08:45:00,1006,1006
88,24/03/2016 , 09:00:00,1063,1063
89,24/03/2016 , 09:15:00,1436,1436
90,24/03/2016 , 09:30:00,1871,1871
91,24/03/2016 , 09:45:00,2612,2612
92,24/03/2016 , 10:00:00,1820,1820
93,24/03/2016 , 10:15:00,910,910
94,24/03/2016 , 10:30:00,2007,2007
95,24/03/2016 , 10:45:00,4188,4188
96,24/03/2016 , 11:00:00,4586,4586
97,24/03/2016 , 11:15:00,4795,4795
98,24/03/2016 , 11:30:00,3777,3777
99,24/03/2016 , 11:45:00,3013,3013
100,24/03/2016 , 12:00:00,4219,4219
101,24/03/2016 , 12:15:00,3152,3152
102,24/03/2016 , 12:30:00,987,987
103,24/03/2016 , 12:45:00,1123,1123
104,24/03/2016 , 13:00:00,487,487
105,24/03/2016 , 13:15:00,288,288
106,24/03/2016 , 13:30:00,455,455
107,24/03/2016 , 13:45:00,336,336
108,24/03/2016 , 14:00:00,172,172
109,24/03/2016 , 14:15:00,109,109
