"Names","TA","Mass"
"20160208_CRM.csv",2224.21482832391,100.12,NA
"20160208_Tank10.csv",2157.86376438355,100.12,NA
"20160208_Tank11.csv",2166.67543541169,100.22,NA
"20160208_Tank12.csv",2162.86115586355,100.02,NA
"20160208_Tank13.csv",2171.23675187709,100.4,NA
"20160208_Tank14.csv",2170.07873630266,100.13,NA
"20160208_Tank15.csv",2165.3751866679,100.22,NA
"20160208_Tank16.csv",2171.67700574446,100.09,NA
"20160208_Tank17.csv",2168.2048828362,100.05,NA
"20160208_Tank18.csv",2166.99550290543,100.01,NA
"20160208mass.csv",NA,NA,NA
"TA 201602028 .csv",NA,NA,NA
