Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,8/18/2015 11:39:53 AM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 4/9",,,,
Measured Values,,"Scope 1/1, Sample 4/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,13.6,,19.2,,
28,0.0400,-49.0,0.0400,19.2,-62.6,
46,0.0800,-57.7,0.0400,19.2,-8.7,
49,0.1200,-57.9,0.0400,19.2,-0.2,
61,0.1600,-55.5,0.0400,19.2,2.4,
91,0.2000,-46.7,0.0400,19.2,8.8,
115,0.2400,-40.0,0.0400,19.2,6.7,
140,0.2800,-33.5,0.0400,19.2,6.5,
162,0.3200,-27.7,0.0400,19.2,5.8,
179,0.3600,-23.6,0.0400,19.2,4.1,
195,0.4000,-19.8,0.0400,19.2,3.8,
210,0.4400,-16.2,0.0400,19.2,3.6,
220,0.4800,-13.1,0.0400,19.2,3.1,
229,0.5200,-10.7,0.0400,19.2,2.4,
236,0.5600,-9.1,0.0400,19.2,1.6,
242,0.6000,-7.8,0.0400,19.2,1.3,
261,0.6400,-2.2,0.0400,19.2,5.6,
265,0.6800,-0.5,0.0400,19.2,1.7,
270,0.7200,-0.1,0.0400,19.2,0.4,
276,0.7600,2.5,0.0400,19.2,2.6,
281,0.8000,4.1,0.0400,19.2,1.6,
285,0.8400,5.6,0.0400,19.2,1.5,
288,0.8800,6.1,0.0400,19.2,0.5,
303,0.9200,10.9,0.0400,19.2,4.8,
308,0.9600,12.8,0.0400,19.2,1.9,
315,1.0000,14.2,0.0400,19.2,1.4,
319,1.0400,16.5,0.0400,19.2,2.3,
324,1.0800,17.6,0.0400,19.2,1.1,
330,1.1200,19.3,0.0400,19.2,1.7,
333,1.1600,19.9,0.0400,19.2,0.6,
341,1.2000,22.2,0.0400,19.2,2.3,
346,1.2400,25.8,0.0400,19.2,3.6,
351,1.2800,27.4,0.0400,19.2,1.6,
356,1.3200,30.0,0.0400,19.2,2.6,
361,1.3600,32.0,0.0400,19.2,2.0,
366,1.4000,35.5,0.0400,19.2,3.5,
370,1.4400,36.8,0.0400,19.2,1.3,
374,1.4800,39.3,0.0400,19.2,2.5,
379,1.5200,42.1,0.0400,19.2,2.8,
383,1.5600,42.9,0.0400,19.2,0.8,
388,1.6000,44.6,0.0400,19.2,1.7,
392,1.6400,49.7,0.0400,19.2,5.1,
397,1.6800,51.7,0.0400,19.2,2.0,
401,1.7200,55.7,0.0400,19.2,4.0,
406,1.7600,59.1,0.0400,19.2,3.4,
410,1.8000,65.0,0.0400,19.2,5.9,
414,1.8400,69.5,0.0400,19.2,4.5,
418,1.8800,71.4,0.0400,19.2,1.9,
423,1.9200,77.7,0.0400,19.2,6.3,
428,1.9600,79.4,0.0400,19.2,1.7,
456,2.0000,87.6,0.0400,19.2,8.2,
465,2.0400,94.7,0.0400,19.2,7.1,
484,2.0800,107.1,0.0400,19.2,12.4,
511,2.1200,123.2,0.0400,19.2,16.1,
532,2.1600,140.2,0.0400,19.2,17.0,
547,2.2000,154.1,0.0400,19.2,13.9,323.48
557,2.2400,164.0,0.0400,19.2,9.9,252.81
566,2.2800,171.5,0.0400,19.2,7.5,181.51
572,2.3200,177.3,0.0400,19.2,5.8,130.98
576,2.3600,183.3,0.0400,19.2,6.0,105.31
701,2.3800,184.6,0.0200,19.2,1.3,99.33
709,2.4000,186.5,0.0200,19.2,1.9,91.70
713,2.4200,188.2,0.0200,19.2,1.7,84.97
719,2.4400,190.1,0.0200,19.2,1.9,78.63
724,2.4600,191.6,0.0200,19.2,1.5,79.50
732,2.4800,193.1,0.0200,19.2,1.5,72.75
735,2.5000,194.9,0.0200,19.2,1.8,66.29
739,2.5200,195.6,0.0200,19.2,0.7,61.85
742,2.5400,196.9,0.0200,19.2,1.3,59.94
747,2.5600,198.4,0.0200,19.2,1.5,57.82
751,2.5800,199.2,0.0200,19.2,0.8,56.79
757,2.6000,200.6,0.0200,19.2,1.4,56.85
762,2.6200,201.6,0.0200,19.2,1.0,51.79
769,2.6400,202.6,0.0200,19.2,1.0,51.25
774,2.6600,203.6,0.0200,19.2,1.0,50.97
778,2.6800,204.6,0.0200,19.2,1.0,45.65
784,2.7000,205.5,0.0200,19.2,0.9,46.20
788,2.7200,206.6,0.0200,19.2,1.1,44.58
792,2.7400,207.2,0.0200,19.2,0.6,41.72
796,2.7600,207.9,0.0200,19.2,0.7,40.16
799,2.7800,209.2,0.0200,19.2,1.3,39.06
804,2.8000,209.6,0.0200,19.2,0.4,36.89
809,2.8200,210.3,0.0200,19.2,0.7,37.58
812,2.8400,211.2,0.0200,19.2,0.9,34.47
818,2.8600,211.8,0.0200,19.2,0.6,33.23
821,2.8800,212.4,0.0200,19.2,0.6,33.13
825,2.9000,213.3,0.0200,19.2,0.9,31.45
828,2.9200,213.6,0.0200,19.2,0.3,31.96
835,2.9400,214.4,0.0200,19.2,0.8,32.61
840,2.9600,214.9,0.0200,19.2,0.5,30.72
844,2.9800,215.8,0.0200,19.2,0.9,29.52
850,3.0000,216.3,0.0200,19.2,0.5,29.01
855,3.0200,216.7,0.0200,19.2,0.4,26.58
858,3.0400,217.2,0.0200,19.2,0.5,27.64
862,3.0600,217.9,0.0200,19.2,0.7,26.84
866,3.0800,218.4,0.0200,19.2,0.5,28.26
870,3.1000,219.0,0.0200,19.2,0.6,27.91
874,3.1200,219.6,0.0200,19.2,0.6,27.28
877,3.1400,219.9,0.0200,19.2,0.3,26.23
881,3.1600,220.6,0.0200,19.2,0.7,25.06
884,3.1800,221.1,0.0200,19.2,0.5,23.17
888,3.2000,221.6,0.0200,19.2,0.5,22.46
892,3.2200,221.9,0.0200,19.2,0.3,21.42
895,3.2400,222.3,0.0200,19.2,0.4,20.91
899,3.2600,222.8,0.0200,19.2,0.5,23.37
903,3.2800,223.3,0.0200,19.2,0.5,23.72
906,3.3000,223.7,0.0200,19.2,0.4,23.06
910,3.3200,224.3,0.0200,19.2,0.6,22.17
913,3.3400,224.7,0.0200,19.2,0.4,20.36
917,3.3600,224.9,0.0200,19.2,0.2,19.71
920,3.3800,225.4,0.0200,19.2,0.5,18.79
923,3.4000,225.9,0.0200,19.2,0.5,19.17
927,3.4200,226.1,0.0200,19.2,0.2,19.47
930,3.4400,226.6,0.0200,19.2,0.5,19.35
