Tank,Mass,Salinity
20160202_CRM,100.16,32.985
20160202_Tank10,99.23,33.3
20160202_Tank11,99.47,33.3
20160202_Tank12,99.94,33.4
20160202_Tank13,99.43,32.9
20160202_Tank14,99.37,33.3
20160202_Tank15,99.22,33.3
20160202_Tank16,100.01,33.4
20160202_Tank17,100.84,33.4
20160202_Tank18,99.76,33.6
