Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,8/18/2015 11:39:53 AM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 7/9",,,,
Measured Values,,"Scope 1/1, Sample 7/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,48.6,,20.8,,
28,0.0400,-27.0,0.0400,20.8,-75.6,
56,0.0800,-42.7,0.0400,20.8,-15.7,
59,0.1200,-42.9,0.0400,20.8,-0.2,
90,0.1600,-34.7,0.0400,20.8,8.2,
118,0.2000,-26.6,0.0400,20.8,8.1,
137,0.2400,-21.1,0.0400,20.8,5.5,
158,0.2800,-15.7,0.0400,20.8,5.4,
171,0.3200,-12.1,0.0400,20.8,3.6,
182,0.3600,-9.3,0.0400,20.8,2.8,
203,0.4000,-3.9,0.0400,20.8,5.4,
215,0.4400,-0.5,0.0400,20.8,3.4,
218,0.4800,-0.7,0.0400,20.8,-0.2,
228,0.5200,2.2,0.0400,20.8,2.9,
236,0.5600,3.9,0.0400,20.8,1.7,
240,0.6000,5.6,0.0400,20.8,1.7,
260,0.6400,11.0,0.0400,20.8,5.4,
265,0.6800,13.0,0.0400,20.7,2.0,
271,0.7200,14.5,0.0400,20.8,1.5,
276,0.7600,17.1,0.0400,20.8,2.6,
282,0.8000,18.5,0.0400,20.8,1.4,
292,0.8400,20.9,0.0400,20.8,2.4,
296,0.8800,26.5,0.0400,20.8,5.6,
300,0.9200,27.7,0.0400,20.8,1.2,
303,0.9600,28.5,0.0400,20.8,0.8,
308,1.0000,29.6,0.0400,20.8,1.1,
315,1.0400,31.3,0.0400,20.8,1.7,
322,1.0800,33.6,0.0400,20.8,2.3,
327,1.1200,36.4,0.0400,20.8,2.8,
334,1.1600,38.1,0.0400,20.8,1.7,
343,1.2000,40.9,0.0400,20.8,2.8,
350,1.2400,43.2,0.0400,20.8,2.3,
355,1.2800,46.1,0.0400,20.8,2.9,
359,1.3200,52.9,0.0400,20.8,6.8,
363,1.3600,53.5,0.0400,20.8,0.6,
367,1.4000,56.6,0.0400,20.8,3.1,
370,1.4400,57.1,0.0400,20.8,0.5,
374,1.4800,57.8,0.0400,20.8,0.7,
378,1.5200,67.1,0.0400,20.8,9.3,
381,1.5600,67.0,0.0400,20.8,-0.1,
385,1.6000,68.7,0.0400,20.8,1.7,
390,1.6400,71.2,0.0400,20.8,2.5,
394,1.6800,72.9,0.0400,20.7,1.7,
400,1.7200,76.4,0.0400,20.8,3.5,
406,1.7600,80.4,0.0400,20.8,4.0,
426,1.8000,86.7,0.0400,20.8,6.3,
439,1.8400,91.3,0.0400,20.8,4.6,
444,1.8800,96.0,0.0400,20.8,4.7,
448,1.9200,105.4,0.0400,20.8,9.4,
464,1.9600,109.9,0.0400,20.8,4.5,
478,2.0000,119.1,0.0400,20.8,9.2,
490,2.0400,129.5,0.0400,20.8,10.4,
498,2.0800,140.8,0.0400,20.8,11.3,
510,2.1200,152.9,0.0400,20.8,12.1,266.02
519,2.1600,162.4,0.0400,20.8,9.5,228.74
525,2.2000,170.1,0.0400,20.8,7.7,185.93
531,2.2400,175.8,0.0400,20.8,5.7,143.59
537,2.2800,180.6,0.0400,20.8,4.8,113.12
661,2.3000,183.8,0.0200,20.8,3.2,105.73
670,2.3200,185.3,0.0200,20.8,1.5,99.67
675,2.3400,187.3,0.0200,20.8,2.0,94.16
680,2.3600,189.2,0.0200,20.8,1.9,85.11
684,2.3800,190.8,0.0200,20.8,1.6,76.68
690,2.4000,192.2,0.0200,20.8,1.4,75.59
694,2.4200,193.7,0.0200,20.8,1.5,69.62
699,2.4400,195.1,0.0200,20.8,1.4,66.53
704,2.4600,196.4,0.0200,20.8,1.3,66.09
708,2.4800,197.7,0.0200,20.8,1.3,63.82
713,2.5000,198.9,0.0200,20.8,1.2,60.17
718,2.5200,200.1,0.0200,20.8,1.2,57.08
722,2.5400,201.4,0.0200,20.8,1.3,54.00
726,2.5600,202.2,0.0200,20.8,0.8,50.06
731,2.5800,203.2,0.0200,20.8,1.0,47.50
736,2.6000,204.2,0.0200,20.8,1.0,45.98
739,2.6200,205.1,0.0200,20.8,0.9,44.56
744,2.6400,205.9,0.0200,20.8,0.8,43.78
749,2.6600,206.9,0.0200,20.8,1.0,42.29
753,2.6800,207.7,0.0200,20.8,0.8,42.22
758,2.7000,208.4,0.0200,20.8,0.7,41.52
762,2.7200,209.3,0.0200,20.8,0.9,39.55
766,2.7400,210.2,0.0200,20.8,0.9,37.98
770,2.7600,210.9,0.0200,20.8,0.7,36.96
775,2.7800,211.5,0.0200,20.8,0.6,35.79
779,2.8000,212.2,0.0200,20.8,0.7,33.41
782,2.8200,213.0,0.0200,20.8,0.8,33.46
787,2.8400,213.6,0.0200,20.8,0.6,33.53
791,2.8600,214.3,0.0200,20.8,0.7,32.50
796,2.8800,214.8,0.0200,20.8,0.5,31.28
799,2.9000,215.6,0.0200,20.8,0.8,30.22
804,2.9200,216.1,0.0200,20.8,0.5,29.98
808,2.9400,216.7,0.0200,20.8,0.6,28.45
814,2.9600,217.3,0.0200,20.8,0.6,28.26
818,2.9800,217.8,0.0200,20.8,0.5,28.24
821,3.0000,218.4,0.0200,20.8,0.6,28.80
826,3.0200,218.9,0.0200,20.8,0.5,28.06
829,3.0400,219.6,0.0200,20.8,0.7,26.80
833,3.0600,220.1,0.0200,20.8,0.5,25.20
836,3.0800,220.5,0.0200,20.8,0.4,23.74
840,3.1000,221.0,0.0200,20.8,0.5,23.00
844,3.1200,221.4,0.0200,20.8,0.4,22.11
848,3.1400,221.9,0.0200,20.8,0.5,22.50
854,3.1600,222.4,0.0200,20.8,0.5,23.08
858,3.1800,222.8,0.0200,20.8,0.4,22.15
862,3.2000,223.2,0.0200,20.8,0.4,22.27
865,3.2200,223.7,0.0200,20.8,0.5,22.30
868,3.2400,224.2,0.0200,20.8,0.5,22.71
872,3.2600,224.5,0.0200,20.8,0.3,23.09
876,3.2800,225.1,0.0200,20.8,0.6,22.09
879,3.3000,225.5,0.0200,20.8,0.4,20.68
883,3.3200,225.9,0.0200,20.8,0.4,19.74
887,3.3400,226.3,0.0200,20.8,0.4,18.70
891,3.3600,226.6,0.0200,20.8,0.3,18.71
894,3.3800,227.0,0.0200,20.8,0.4,19.23
898,3.4000,227.4,0.0200,20.8,0.4,19.75
