Tank,Mass,Salinity
20160523_CRM,100.04,33.624
20160523_TANK10,99.95,34
20160523_TANK11,99.96,34.3
20160523_TANK12,100.02,34
20160523_TANK13,100.02,34
20160523_TANK14,99.98,34.1
20160523_TANK15,99.98,34
20160523_TANK16,100.02,34
20160523_TANK17,100,33.9
20160523_TANK18,100.01,34
