Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6381


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/07/2016 , 13:45:00,2390,2390
2,08/07/2016 , 14:00:00,3423,3423
3,08/07/2016 , 14:15:00,3871,3871
4,08/07/2016 , 14:30:00,2522,2522
5,08/07/2016 , 14:45:00,1710,1710
6,08/07/2016 , 15:00:00,2602,2602
7,08/07/2016 , 15:15:00,1869,1869
8,08/07/2016 , 15:30:00,1782,1782
9,08/07/2016 , 15:45:00,2125,2125
10,08/07/2016 , 16:00:00,1509,1509
11,08/07/2016 , 16:15:00,1095,1095
12,08/07/2016 , 16:30:00,853,853
13,08/07/2016 , 16:45:00,839,839
14,08/07/2016 , 17:00:00,1306,1306
15,08/07/2016 , 17:15:00,1006,1006
16,08/07/2016 , 17:30:00,573,573
17,08/07/2016 , 17:45:00,438,438
18,08/07/2016 , 18:00:00,275,275
19,08/07/2016 , 18:15:00,163,163
20,08/07/2016 , 18:30:00,158,158
21,08/07/2016 , 18:45:00,123,123
22,08/07/2016 , 19:00:00,86,86
23,08/07/2016 , 19:15:00,40,40
24,08/07/2016 , 19:30:00,6,6
25,08/07/2016 , 19:45:00,0,0
26,08/07/2016 , 20:00:00,0,0
27,08/07/2016 , 20:15:00,0,0
28,08/07/2016 , 20:30:00,0,0
29,08/07/2016 , 20:45:00,0,0
30,08/07/2016 , 21:00:00,0,0
31,08/07/2016 , 21:15:00,0,0
32,08/07/2016 , 21:30:00,0,0
33,08/07/2016 , 21:45:00,0,0
34,08/07/2016 , 22:00:00,0,0
35,08/07/2016 , 22:15:00,0,0
36,08/07/2016 , 22:30:00,0,0
37,08/07/2016 , 22:45:00,0,0
38,08/07/2016 , 23:00:00,0,0
39,08/07/2016 , 23:15:00,0,0
40,08/07/2016 , 23:30:00,0,0
41,08/07/2016 , 23:45:00,0,0
42,08/07/2016 , 24:00:00,0,0
43,09/07/2016 , 00:15:00,0,0
44,09/07/2016 , 00:30:00,0,0
45,09/07/2016 , 00:45:00,0,0
46,09/07/2016 , 01:00:00,0,0
47,09/07/2016 , 01:15:00,0,0
48,09/07/2016 , 01:30:00,0,0
49,09/07/2016 , 01:45:00,0,0
50,09/07/2016 , 02:00:00,0,0
51,09/07/2016 , 02:15:00,0,0
52,09/07/2016 , 02:30:00,0,0
53,09/07/2016 , 02:45:00,0,0
54,09/07/2016 , 03:00:00,0,0
55,09/07/2016 , 03:15:00,0,0
56,09/07/2016 , 03:30:00,0,0
57,09/07/2016 , 03:45:00,0,0
58,09/07/2016 , 04:00:00,0,0
59,09/07/2016 , 04:15:00,0,0
60,09/07/2016 , 04:30:00,0,0
61,09/07/2016 , 04:45:00,0,0
62,09/07/2016 , 05:00:00,0,0
63,09/07/2016 , 05:15:00,0,0
64,09/07/2016 , 05:30:00,0,0
65,09/07/2016 , 05:45:00,0,0
66,09/07/2016 , 06:00:00,1,1
67,09/07/2016 , 06:15:00,21,21
68,09/07/2016 , 06:30:00,49,49
69,09/07/2016 , 06:45:00,77,77
70,09/07/2016 , 07:00:00,105,105
71,09/07/2016 , 07:15:00,136,136
72,09/07/2016 , 07:30:00,142,142
73,09/07/2016 , 07:45:00,161,161
74,09/07/2016 , 08:00:00,199,199
75,09/07/2016 , 08:15:00,208,208
76,09/07/2016 , 08:30:00,245,245
77,09/07/2016 , 08:45:00,319,319
78,09/07/2016 , 09:00:00,453,453
79,09/07/2016 , 09:15:00,1113,1113
80,09/07/2016 , 09:30:00,2009,2009
81,09/07/2016 , 09:45:00,1794,1794
82,09/07/2016 , 10:00:00,2168,2168
83,09/07/2016 , 10:15:00,1564,1564
84,09/07/2016 , 10:30:00,2209,2209
85,09/07/2016 , 10:45:00,2523,2523
86,09/07/2016 , 11:00:00,3317,3317
87,09/07/2016 , 11:15:00,3531,3531
88,09/07/2016 , 11:30:00,3660,3660
89,09/07/2016 , 11:45:00,2571,2571
90,09/07/2016 , 12:00:00,2377,2377
91,09/07/2016 , 12:15:00,4405,4405
92,09/07/2016 , 12:30:00,4352,4352
93,09/07/2016 , 12:45:00,4421,4421
94,09/07/2016 , 13:00:00,4421,4421
95,09/07/2016 , 13:15:00,4127,4127
96,09/07/2016 , 13:30:00,3348,3348
97,09/07/2016 , 13:45:00,2365,2365
98,09/07/2016 , 14:00:00,2829,2829
99,09/07/2016 , 14:15:00,3528,3528
100,09/07/2016 , 14:30:00,3367,3367
101,09/07/2016 , 14:45:00,3482,3482
102,09/07/2016 , 15:00:00,2750,2750
103,09/07/2016 , 15:15:00,2216,2216
104,09/07/2016 , 15:30:00,2159,2159
105,09/07/2016 , 15:45:00,2275,2275
106,09/07/2016 , 16:00:00,1496,1496
107,09/07/2016 , 16:15:00,1137,1137
108,09/07/2016 , 16:30:00,638,638
