Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 5/9",,,,
Measured Values,,"Scope 1/1, Sample 5/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,69.3,,21.1,,
28,0.0400,1.7,0.0400,21.1,-67.6,
58,0.0800,-27.9,0.0400,21.1,-29.6,
61,0.1200,-29.0,0.0400,21.1,-1.1,
64,0.1600,-29.3,0.0400,21.1,-0.3,
68,0.2000,-28.4,0.0400,21.1,0.9,
99,0.2400,-21.2,0.0400,21.1,7.2,
112,0.2800,-17.5,0.0400,21.1,3.7,
127,0.3200,-13.6,0.0400,21.0,3.9,
138,0.3600,-10.9,0.0400,21.0,2.7,
144,0.4000,-8.6,0.0400,21.0,2.3,
161,0.4400,-4.0,0.0400,21.0,4.6,
170,0.4800,-1.6,0.0400,21.0,2.4,
173,0.5200,-0.8,0.0400,21.0,0.8,
178,0.5600,0.3,0.0400,21.0,1.1,
183,0.6000,2.4,0.0400,21.0,2.1,
188,0.6400,4.2,0.0400,21.0,1.8,
192,0.6800,5.1,0.0400,21.0,0.9,
195,0.7200,5.7,0.0400,21.0,0.6,
217,0.7600,11.1,0.0400,21.0,5.4,
223,0.8000,12.6,0.0400,21.0,1.5,
228,0.8400,15.0,0.0400,21.0,2.4,
233,0.8800,16.8,0.0400,21.0,1.8,
238,0.9200,17.9,0.0400,21.0,1.1,
243,0.9600,19.6,0.0400,21.0,1.7,
249,1.0000,21.0,0.0400,21.0,1.4,
255,1.0400,22.5,0.0400,21.0,1.5,
262,1.0800,24.4,0.0400,21.0,1.9,
270,1.1200,26.1,0.0400,21.0,1.7,
276,1.1600,28.4,0.0400,21.0,2.3,
281,1.2000,30.6,0.0400,21.0,2.2,
286,1.2400,32.5,0.0400,21.0,1.9,
292,1.2800,34.3,0.0400,21.0,1.8,
297,1.3200,36.6,0.0400,21.0,2.3,
303,1.3600,38.2,0.0400,21.0,1.6,
308,1.4000,40.8,0.0400,21.0,2.6,
314,1.4400,42.3,0.0400,21.0,1.5,
320,1.4800,45.5,0.0400,21.0,3.2,
325,1.5200,47.6,0.0400,21.0,2.1,
331,1.5600,51.1,0.0400,21.0,3.5,
336,1.6000,54.2,0.0400,21.0,3.1,
341,1.6400,56.5,0.0400,21.0,2.3,
346,1.6800,59.9,0.0400,21.0,3.4,
351,1.7200,64.2,0.0400,21.0,4.3,
356,1.7600,66.9,0.0400,21.0,2.7,
362,1.8000,69.5,0.0400,21.0,2.6,
371,1.8400,73.1,0.0400,21.0,3.6,
386,1.8800,78.5,0.0400,21.0,5.4,
396,1.9200,84.4,0.0400,21.0,5.9,
407,1.9600,90.9,0.0400,21.0,6.5,
427,2.0000,99.7,0.0400,21.0,8.8,
447,2.0400,110.9,0.0400,21.0,11.2,
467,2.0800,125.6,0.0400,21.0,14.7,
484,2.1200,143.0,0.0400,21.0,17.4,367.79
497,2.1600,157.2,0.0400,21.0,14.2,332.66
506,2.2000,167.7,0.0400,21.0,10.5,267.45
512,2.2400,175.6,0.0400,21.0,7.9,191.76
517,2.2800,181.9,0.0400,21.0,6.3,134.53
642,2.3000,184.3,0.0200,21.0,2.4,118.99
646,2.3200,187.0,0.0200,21.0,2.7,109.31
651,2.3400,188.8,0.0200,20.9,1.8,101.34
655,2.3600,190.8,0.0200,20.9,2.0,92.88
660,2.3800,192.7,0.0200,21.0,1.9,87.38
665,2.4000,194.3,0.0200,20.9,1.6,80.23
669,2.4200,196.1,0.0200,20.9,1.8,77.56
