Tank,Mass,Salinity
20160721_CRM,100.06,33.331
20160721_TANK10,100.19,33.9
20160721_TANK11,100.09,33.8
20160721_TANK12,100.06,33.9
20160721_TANK13,100.03,34.1
20160721_TANK14,99.85,33.9
20160721_TANK15,100.04,34
20160721_TANK16,99.98,34
20160721_TANK17,99.93,33.9
20160721_TANK18,100.04,34.1
