Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6379


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,15/01/2016 , 16:15:00,610,610
2,15/01/2016 , 16:30:00,415,415
3,15/01/2016 , 16:45:00,316,316
4,15/01/2016 , 17:00:00,254,254
5,15/01/2016 , 17:15:00,246,246
6,15/01/2016 , 17:30:00,191,191
7,15/01/2016 , 17:45:00,147,147
8,15/01/2016 , 18:00:00,61,61
9,15/01/2016 , 18:15:00,16,16
10,15/01/2016 , 18:30:00,2,2
11,15/01/2016 , 18:45:00,0,0
12,15/01/2016 , 19:00:00,0,0
13,15/01/2016 , 19:15:00,0,0
14,15/01/2016 , 19:30:00,0,0
15,15/01/2016 , 19:45:00,0,0
16,15/01/2016 , 20:00:00,0,0
17,15/01/2016 , 20:15:00,0,0
18,15/01/2016 , 20:30:00,0,0
19,15/01/2016 , 20:45:00,0,0
20,15/01/2016 , 21:00:00,0,0
21,15/01/2016 , 21:15:00,0,0
22,15/01/2016 , 21:30:00,0,0
23,15/01/2016 , 21:45:00,0,0
24,15/01/2016 , 22:00:00,0,0
25,15/01/2016 , 22:15:00,0,0
26,15/01/2016 , 22:30:00,0,0
27,15/01/2016 , 22:45:00,0,0
28,15/01/2016 , 23:00:00,0,0
29,15/01/2016 , 23:15:00,0,0
30,15/01/2016 , 23:30:00,0,0
31,15/01/2016 , 23:45:00,0,0
32,15/01/2016 , 24:00:00,0,0
33,16/01/2016 , 00:15:00,0,0
34,16/01/2016 , 00:30:00,0,0
35,16/01/2016 , 00:45:00,0,0
36,16/01/2016 , 01:00:00,0,0
37,16/01/2016 , 01:15:00,0,0
38,16/01/2016 , 01:30:00,0,0
39,16/01/2016 , 01:45:00,0,0
40,16/01/2016 , 02:00:00,0,0
41,16/01/2016 , 02:15:00,0,0
42,16/01/2016 , 02:30:00,0,0
43,16/01/2016 , 02:45:00,0,0
44,16/01/2016 , 03:00:00,0,0
45,16/01/2016 , 03:15:00,0,0
46,16/01/2016 , 03:30:00,0,0
47,16/01/2016 , 03:45:00,0,0
48,16/01/2016 , 04:00:00,0,0
49,16/01/2016 , 04:15:00,0,0
50,16/01/2016 , 04:30:00,0,0
51,16/01/2016 , 04:45:00,0,0
52,16/01/2016 , 05:00:00,0,0
53,16/01/2016 , 05:15:00,0,0
54,16/01/2016 , 05:30:00,0,0
55,16/01/2016 , 05:45:00,0,0
56,16/01/2016 , 06:00:00,0,0
57,16/01/2016 , 06:15:00,0,0
58,16/01/2016 , 06:30:00,0,0
59,16/01/2016 , 06:45:00,0,0
60,16/01/2016 , 07:00:00,0,0
61,16/01/2016 , 07:15:00,13,13
62,16/01/2016 , 07:30:00,62,62
63,16/01/2016 , 07:45:00,130,130
64,16/01/2016 , 08:00:00,285,285
65,16/01/2016 , 08:15:00,391,391
66,16/01/2016 , 08:30:00,441,441
67,16/01/2016 , 08:45:00,554,554
68,16/01/2016 , 09:00:00,1659,1659
69,16/01/2016 , 09:15:00,5057,5057
70,16/01/2016 , 09:30:00,6026,6026
71,16/01/2016 , 09:45:00,7063,7063
72,16/01/2016 , 10:00:00,7540,7540
73,16/01/2016 , 10:15:00,2061,2061
74,16/01/2016 , 10:30:00,3015,3015
75,16/01/2016 , 10:45:00,2804,2804
76,16/01/2016 , 11:00:00,3977,3977
77,16/01/2016 , 11:15:00,3949,3949
78,16/01/2016 , 11:30:00,1817,1817
79,16/01/2016 , 11:45:00,1503,1503
80,16/01/2016 , 12:00:00,3777,3777
81,16/01/2016 , 12:15:00,4327,4327
82,16/01/2016 , 12:30:00,4368,4368
83,16/01/2016 , 12:45:00,3669,3669
84,16/01/2016 , 13:00:00,3013,3013
85,16/01/2016 , 13:15:00,1708,1708
86,16/01/2016 , 13:30:00,1607,1607
87,16/01/2016 , 13:45:00,1864,1864
88,16/01/2016 , 14:00:00,2368,2368
89,16/01/2016 , 14:15:00,1995,1995
90,16/01/2016 , 14:30:00,1419,1419
91,16/01/2016 , 14:45:00,1208,1208
92,16/01/2016 , 15:00:00,1181,1181
93,16/01/2016 , 15:15:00,1216,1216
94,16/01/2016 , 15:30:00,1019,1019
95,16/01/2016 , 15:45:00,980,980
96,16/01/2016 , 16:00:00,913,913
97,16/01/2016 , 16:15:00,736,736
98,16/01/2016 , 16:30:00,623,623
99,16/01/2016 , 16:45:00,470,470
100,16/01/2016 , 17:00:00,273,273
101,16/01/2016 , 17:15:00,292,292
102,16/01/2016 , 17:30:00,168,168
103,16/01/2016 , 17:45:00,110,110
104,16/01/2016 , 18:00:00,49,49
105,16/01/2016 , 18:15:00,20,20
106,16/01/2016 , 18:30:00,4,4
107,16/01/2016 , 18:45:00,0,0
108,16/01/2016 , 19:00:00,0,0
109,16/01/2016 , 19:15:00,0,0
110,16/01/2016 , 19:30:00,0,0
