"Names","TA","Mass"
"20160205_CRM.csv",2202.29224879743,100.07,NA
"20160205_CRM2.csv",2216.24357654532,99.44,NA
"20160205_Tank10.csv",2096.06095701629,99.74,NA
"20160205_Tank11.csv",2113.01893235141,99.68,NA
"20160205_Tank12.csv",2116.26785470391,100.18,NA
"20160205_Tank13.csv",2104.95284848199,99.92,NA
"20160205_Tank14.csv",2114.82606117539,100.37,NA
"20160205_Tank15.csv",2108.788106156,100.37,NA
"20160205_Tank16.csv",2112.94706689443,99.62,NA
"20160205_Tank17.csv",2110.13680012521,100,NA
"20160205_Tank18.csv",2112.74139240568,99.57,NA
"20160205mass.csv",NA,NA,NA
"TA 20160205 .csv",NA,NA,NA
