Tank,Mass,Salinity
20160808_CRM,99.49,33.331
20160808_TANK10,99.97,33.6
20160808_TANK11,99.83,33.5
20160808_TANK12,99.92,33.5
20160808_TANK13,99.78,33.4
20160808_TANK14,99.8,33.4
20160808_TANK15,99.98,33.4
20160808_TANK16,99.66,33.4
20160808_TANK17,99.83,33.4
20160808_TANK18,99.98,33.2
