Date,pH.10,pH.11,pH.12,pH.16,pH.17,pH.18
6/16/2016 0:00,NA,NA,NA,7.71,7.72,8.05
6/16/2016 0:15,NA,NA,NA,7.71,7.71,8.05
6/16/2016 0:30,NA,NA,NA,7.69,7.71,8.04
6/16/2016 0:45,NA,NA,NA,7.69,7.68,8.03
6/16/2016 1:00,NA,NA,NA,7.64,7.69,8.02
6/16/2016 1:15,NA,NA,NA,7.69,7.69,8.01
6/16/2016 1:30,NA,NA,NA,7.7,7.69,8.01
6/16/2016 1:45,NA,NA,NA,7.66,7.69,8
6/16/2016 2:00,NA,NA,NA,7.7,7.69,8
6/16/2016 2:15,NA,NA,NA,7.66,7.69,7.99
6/16/2016 2:30,NA,NA,NA,7.69,7.69,7.98
6/16/2016 2:45,NA,NA,NA,7.66,7.69,7.98
6/16/2016 3:00,NA,NA,NA,7.65,7.69,7.97
6/16/2016 3:15,NA,NA,NA,7.67,7.67,7.96
6/16/2016 3:30,NA,NA,NA,7.68,7.67,7.96
6/16/2016 3:45,NA,NA,NA,7.67,7.67,7.96
6/16/2016 4:00,NA,NA,NA,7.67,7.68,7.95
6/16/2016 4:15,NA,NA,NA,7.63,7.67,7.95
6/16/2016 4:30,NA,NA,NA,7.68,7.68,7.93
6/16/2016 4:45,NA,NA,NA,7.67,7.67,7.93
6/16/2016 5:00,NA,NA,NA,7.63,7.67,7.92
6/16/2016 5:15,NA,NA,NA,7.67,7.67,7.92
6/16/2016 5:30,NA,NA,NA,7.66,7.66,7.91
6/16/2016 5:45,NA,NA,NA,7.65,7.65,7.91
6/16/2016 6:00,NA,NA,NA,7.66,7.65,7.91
6/16/2016 6:15,NA,NA,NA,7.66,7.65,7.91
6/16/2016 6:30,NA,NA,NA,7.65,7.64,7.91
6/16/2016 6:45,NA,NA,NA,7.6,7.65,7.9
6/16/2016 7:00,NA,NA,NA,7.66,7.66,7.9
6/16/2016 7:15,NA,NA,NA,7.65,7.65,7.9
6/16/2016 7:30,NA,NA,NA,7.66,7.65,7.9
6/16/2016 7:45,NA,NA,NA,7.61,7.64,7.9
6/16/2016 8:00,NA,NA,NA,7.65,7.65,7.9
6/16/2016 8:15,NA,NA,NA,7.61,7.65,7.9
6/16/2016 8:30,NA,NA,NA,7.64,7.69,7.91
6/16/2016 8:45,NA,NA,NA,7.67,7.67,7.92
6/16/2016 9:00,NA,NA,NA,7.66,7.7,7.92
6/16/2016 9:15,NA,NA,NA,7.63,7.69,7.95
6/16/2016 9:30,NA,NA,NA,7.69,7.69,7.96
6/16/2016 9:45,NA,NA,NA,7.69,7.7,7.98
6/16/2016 10:00,NA,NA,NA,7.71,7.71,7.99
6/16/2016 10:15,NA,NA,NA,7.7,7.7,8
6/16/2016 10:30,NA,NA,NA,7.75,7.75,8.01
6/16/2016 10:45,NA,NA,NA,7.74,7.73,8.02
6/16/2016 11:00,NA,NA,NA,7.7,7.75,8.05
6/16/2016 11:15,NA,NA,NA,7.77,7.77,8.07
6/16/2016 11:30,NA,NA,NA,7.77,7.75,8.08
6/16/2016 11:45,NA,NA,NA,7.77,7.75,8.1
6/16/2016 12:00,NA,NA,NA,7.79,7.77,8.11
6/16/2016 12:15,NA,NA,NA,7.73,7.77,8.12
6/16/2016 12:30,NA,NA,NA,7.74,7.79,8.13
6/16/2016 12:45,NA,NA,NA,7.81,7.82,8.14
6/16/2016 13:00,NA,NA,NA,7.8,7.82,8.15
6/16/2016 13:15,NA,NA,NA,7.79,7.82,8.16
6/16/2016 13:30,NA,NA,NA,7.8,7.83,8.16
6/16/2016 13:45,NA,NA,NA,7.83,7.82,8.16
6/16/2016 14:00,NA,NA,NA,7.81,7.83,8.16
6/16/2016 14:15,NA,NA,NA,7.81,7.85,8.16
6/16/2016 14:30,NA,NA,NA,7.84,7.85,8.16
6/16/2016 14:45,8.26,8.12,7.83,7.8,7.82,8.16
6/16/2016 15:00,8.26,8.14,7.84,7.81,7.83,8.16
6/16/2016 15:15,8.26,8.14,7.84,7.79,7.82,8.15
