Date,pH.10,pH.11,pH.12,pH.13,pH.14,pH.15,pH.16,pH.17,pH.18
6/8/2016 0:00,8.02,7.98,7.71,7.72,8.02,7.93,7.71,7.71,7.86
6/8/2016 0:15,8.02,7.98,7.71,7.71,8.02,7.93,7.71,7.71,7.86
6/8/2016 0:30,8.01,7.98,7.71,7.72,8.01,7.93,7.71,7.71,7.85
6/8/2016 0:45,8,7.97,7.69,7.7,8.01,7.92,7.69,7.69,7.85
6/8/2016 1:00,8.01,7.97,7.69,7.69,8.01,7.92,7.69,7.69,7.84
6/8/2016 1:15,8,7.97,7.69,7.69,8,7.92,7.69,7.69,7.84
6/8/2016 1:30,8,7.96,7.69,7.69,8,7.92,7.71,7.69,7.84
6/8/2016 1:45,7.99,7.96,7.69,7.69,8,7.91,7.69,7.69,7.84
6/8/2016 2:00,7.99,7.96,7.69,7.69,8,7.91,7.69,7.69,7.84
6/8/2016 2:15,7.98,7.96,7.69,7.69,8,7.91,7.69,7.69,7.83
6/8/2016 2:30,7.98,7.95,7.69,7.69,8,7.91,7.69,7.69,7.83
6/8/2016 2:45,7.98,7.95,7.71,7.69,8,7.9,7.69,7.69,7.83
6/8/2016 3:00,7.97,7.95,7.69,7.69,7.99,7.9,7.69,7.68,7.83
6/8/2016 3:15,7.97,7.94,7.67,7.68,7.99,7.9,7.67,7.67,7.83
6/8/2016 3:30,7.98,7.94,7.67,7.68,7.99,7.9,7.67,7.67,7.82
6/8/2016 3:45,7.97,7.94,7.67,7.67,7.99,7.9,7.67,7.67,7.82
6/8/2016 4:00,7.97,7.94,7.69,7.67,7.98,7.89,7.67,7.66,7.82
6/8/2016 4:15,7.97,7.94,7.67,7.67,7.98,7.89,7.67,7.69,7.81
6/8/2016 4:30,7.97,7.93,7.67,7.68,7.98,7.89,7.67,7.66,7.81
6/8/2016 4:45,7.96,7.93,7.67,7.67,7.98,7.89,7.67,7.67,7.81
6/8/2016 5:00,7.96,7.93,7.67,7.66,7.97,7.89,7.67,7.67,7.81
6/8/2016 5:15,7.96,7.93,7.67,7.67,7.97,7.89,7.67,7.67,7.81
6/8/2016 5:30,7.95,7.93,7.65,7.65,7.97,7.87,7.65,7.65,7.8
6/8/2016 5:45,7.95,7.92,7.65,7.65,7.97,7.87,7.65,7.65,7.8
6/8/2016 6:00,7.95,7.92,7.65,7.65,7.97,7.87,7.65,7.65,7.8
6/8/2016 6:15,7.95,7.92,7.65,7.65,7.96,7.87,7.65,7.65,7.8
6/8/2016 6:30,7.95,7.92,7.65,7.65,7.96,7.87,7.65,7.65,7.8
6/8/2016 6:45,7.96,7.92,7.65,7.66,7.96,7.87,7.65,7.65,7.8
6/8/2016 7:00,7.96,7.92,7.65,7.65,7.96,7.87,7.65,7.65,7.8
6/8/2016 7:15,7.95,7.92,7.65,7.65,7.96,7.87,7.65,7.66,7.8
6/8/2016 7:30,7.95,7.92,7.65,7.67,7.96,7.87,7.64,7.65,7.82
6/8/2016 7:45,7.96,7.92,7.65,7.66,7.96,7.89,7.64,7.65,7.82
6/8/2016 8:00,7.96,7.92,7.66,7.65,7.96,7.89,7.66,7.65,7.83
6/8/2016 8:15,7.96,7.92,7.66,7.65,7.96,7.9,7.64,7.65,7.85
6/8/2016 8:30,7.96,7.94,7.67,7.67,7.96,7.9,7.67,7.67,7.84
6/8/2016 8:45,7.97,7.94,7.68,7.68,7.98,7.92,7.71,7.68,7.86
6/8/2016 9:00,7.97,7.94,7.69,7.69,7.98,7.92,7.73,7.69,7.86
6/8/2016 9:15,7.98,7.95,7.68,7.69,7.99,7.92,7.67,7.68,7.86
6/8/2016 9:30,7.98,7.95,7.68,7.7,7.99,7.93,7.69,7.69,7.88
6/8/2016 9:45,7.97,7.96,7.71,7.7,8.01,7.94,7.68,7.72,7.88
6/8/2016 10:00,7.98,7.96,7.7,7.71,8.01,7.94,7.68,7.72,7.89
6/8/2016 10:15,7.99,7.97,7.71,7.72,8.02,7.94,7.69,7.7,7.9
6/8/2016 10:30,7.99,7.97,7.72,7.73,8.03,7.96,7.69,7.71,7.92
6/8/2016 10:45,8.01,7.99,7.74,7.73,8.04,7.97,7.71,7.74,7.93
6/8/2016 11:00,8,8.01,7.74,7.73,8.04,7.96,7.71,7.72,7.94
6/8/2016 11:15,8.02,7.98,7.76,7.76,8.05,7.96,7.69,7.76,7.92
6/8/2016 11:30,8.03,7.99,7.76,7.77,8.05,7.98,7.75,7.75,7.95
6/8/2016 11:45,8.04,7.99,7.79,7.78,8.07,7.99,7.78,7.76,7.96
6/8/2016 12:00,8.05,7.99,7.77,7.78,8.07,7.98,7.74,7.78,7.94
6/8/2016 12:15,8.05,8,7.78,7.78,8.07,8,7.77,7.77,7.96
6/8/2016 12:30,8.04,8.05,7.8,7.81,8.1,8.01,7.85,7.8,8
6/8/2016 12:45,8.06,8.02,7.82,7.81,8.1,8.02,7.81,7.82,7.97
6/8/2016 13:00,8.07,8.01,7.79,7.79,8.1,8,7.79,7.82,7.98
6/8/2016 13:15,8.07,8.01,7.8,7.8,8.1,8.01,7.8,7.8,7.97
6/8/2016 13:30,8.08,8.01,7.81,7.82,8.1,8.01,7.8,7.82,7.97
6/8/2016 13:45,8.08,8.03,7.82,7.83,8.11,8.03,7.83,7.81,7.97
6/8/2016 14:00,8.09,8.03,7.84,7.83,8.12,8.04,7.82,7.84,8
6/8/2016 14:15,8.09,8.03,7.82,7.81,8.11,8.02,7.81,7.82,7.98
6/8/2016 14:30,8.1,8.03,7.83,7.83,8.11,8.02,7.81,7.85,7.98
6/8/2016 14:45,8.1,8.02,7.83,7.82,8.12,8.02,7.81,7.82,7.98
6/8/2016 15:00,8.1,8.03,7.82,7.82,8.12,8.02,7.79,7.82,7.98
6/8/2016 15:15,8.11,8.04,7.82,7.82,8.13,8.03,7.82,7.82,7.98
6/8/2016 15:30,8.11,8.06,7.84,7.84,8.13,8.05,7.83,7.84,8
6/8/2016 15:45,8.11,8.07,7.83,7.82,8.13,8.07,7.83,7.81,8.03
6/8/2016 16:00,8.11,8.09,7.8,7.81,8.15,8.06,7.82,7.8,8.02
6/8/2016 16:15,8.11,8.09,7.79,7.82,8.15,8.05,7.79,7.8,8.02
6/8/2016 16:30,8.11,8.08,7.8,7.82,8.16,8.08,7.8,7.83,8.03
6/8/2016 16:45,8.11,8.04,7.78,7.8,8.16,8.04,7.76,7.75,8
6/8/2016 17:00,8.12,8.04,7.79,7.79,8.17,8.06,7.77,7.78,8.04
6/8/2016 17:15,8.12,8.06,7.78,7.78,8.17,8.05,7.78,7.76,8.11
6/8/2016 17:30,8.12,8.06,7.74,7.8,8.17,8.05,7.78,7.78,8.01
6/8/2016 17:45,8.12,8.04,7.76,7.77,8.16,8.05,7.76,7.76,8
6/8/2016 18:00,8.13,8.04,7.76,7.76,8.16,8.04,7.76,7.76,7.99
6/8/2016 18:15,8.13,8.04,7.76,7.76,8.16,8.04,7.75,7.76,7.99
6/8/2016 18:30,8.13,8.03,7.76,7.78,8.16,8.03,7.76,7.78,7.98
6/8/2016 18:45,8.13,8.02,7.74,7.75,8.15,8.02,7.74,7.74,7.97
6/8/2016 19:00,8.13,8.02,7.74,7.74,8.15,8.02,7.74,7.74,7.96
6/8/2016 19:15,8.13,8.01,7.74,7.74,8.15,8.01,7.74,7.74,7.95
6/8/2016 19:30,8.11,8.01,7.74,7.74,8.15,8,7.73,7.74,7.94
6/8/2016 19:45,8.11,8.01,7.74,7.74,8.14,8,7.73,7.76,7.94
6/8/2016 20:00,8.1,7.99,7.74,7.74,8.14,7.99,7.73,7.74,7.92
6/8/2016 20:15,8.09,7.99,7.74,7.72,8.12,7.99,7.74,7.74,7.91
6/8/2016 20:30,8.09,7.99,7.76,7.73,8.12,7.97,7.73,7.76,7.91
6/8/2016 20:45,8.08,7.97,7.72,7.72,8.12,7.97,7.72,7.72,7.9
6/8/2016 21:00,8.08,7.96,7.72,7.73,8.12,7.96,7.72,7.72,7.89
6/8/2016 21:15,8.08,7.96,7.72,7.72,8.11,7.96,7.72,7.72,7.88
6/8/2016 21:30,8.07,7.95,7.72,7.73,8.11,7.95,7.72,7.71,7.87
6/8/2016 21:45,8.07,7.95,7.72,7.72,8.1,7.95,7.71,7.72,7.88
6/8/2016 22:00,8.06,7.95,7.72,7.72,8.1,7.94,7.71,7.71,7.88
6/8/2016 22:15,8.06,7.95,7.72,7.72,8.09,7.94,7.7,7.72,7.86
6/8/2016 22:30,8.04,7.95,7.71,7.71,8.09,7.94,7.73,7.71,7.85
6/8/2016 22:45,8.04,7.94,7.71,7.71,8.09,7.93,7.7,7.71,7.85
6/8/2016 23:00,8.03,7.94,7.71,7.71,8.09,7.93,7.71,7.71,7.86
6/8/2016 23:15,8.03,7.96,7.71,7.71,8.08,7.93,7.71,7.71,7.86
6/8/2016 23:30,8.02,7.96,7.71,7.72,8.08,7.93,7.72,7.71,7.84
6/8/2016 23:45,8.02,7.94,7.73,7.7,8.08,7.92,7.71,7.71,7.85
6/9/2016 0:00,8.01,7.94,7.71,7.71,8.08,7.92,7.71,7.71,7.84
6/9/2016 0:15,8.01,7.94,7.71,7.71,8.06,7.92,7.71,7.7,7.83
6/9/2016 0:30,8.01,7.94,7.71,7.72,8.06,7.92,7.71,7.71,7.82
6/9/2016 0:45,8.01,7.93,7.7,7.71,8.06,7.92,7.69,7.69,7.82
6/9/2016 1:00,8.01,7.93,7.69,7.69,8.06,7.91,7.69,7.7,7.83
6/9/2016 1:15,8.01,7.92,7.69,7.69,8.06,7.91,7.71,7.68,7.83
6/9/2016 1:30,8,7.92,7.69,7.69,8.06,7.91,7.68,7.69,7.82
6/9/2016 1:45,8,7.92,7.69,7.69,8.05,7.91,7.68,7.68,7.82
6/9/2016 2:00,8,7.92,7.69,7.69,8.05,7.91,7.67,7.69,7.82
6/9/2016 2:15,7.99,7.91,7.71,7.69,8.05,7.91,7.69,7.69,7.83
6/9/2016 2:30,7.99,7.91,7.69,7.7,8.05,7.9,7.68,7.69,7.82
6/9/2016 2:45,7.99,7.91,7.69,7.7,8.05,7.9,7.68,7.69,7.82
6/9/2016 3:00,7.99,7.91,7.71,7.69,8.05,7.9,7.68,7.69,7.82
6/9/2016 3:15,7.98,7.91,7.67,7.68,8.04,7.9,7.67,7.67,7.83
6/9/2016 3:30,7.98,7.9,7.67,7.68,8.04,7.89,7.67,7.67,7.81
6/9/2016 3:45,7.98,7.9,7.67,7.67,8.04,7.89,7.67,7.67,7.81
6/9/2016 4:00,7.97,7.9,7.67,7.67,8.03,7.89,7.66,7.67,7.81
6/9/2016 4:15,7.97,7.89,7.69,7.67,8.03,7.89,7.66,7.68,7.81
