Date,pH.10,pH.11,pH.12,pH.13,pH.14,pH.15,pH.16,pH.17,pH.18
3/29/2016 12:15,8.08,8.09,7.78,7.79,8.16,8.04,7.77,7.76,7.93
3/29/2016 12:30,8.12,8.14,7.78,7.8,8.17,8.09,7.8,7.77,7.93
3/29/2016 12:45,8.13,8.15,7.8,7.81,8.17,8.1,7.81,7.78,7.94
3/29/2016 13:00,8.11,8.12,7.77,7.81,8.18,8.09,7.77,7.77,7.93
3/29/2016 13:15,8.13,8.15,7.81,7.82,8.18,8.12,7.82,7.81,7.96
3/29/2016 13:30,8.14,8.15,7.81,7.83,8.19,8.14,7.83,7.82,7.95
3/29/2016 13:45,8.14,8.17,7.83,7.84,8.2,8.16,7.83,7.82,7.96
3/29/2016 14:00,8.15,8.17,7.8,7.84,8.2,8.14,7.83,7.82,7.96
3/29/2016 14:15,8.15,8.16,7.83,7.85,8.21,8.16,7.86,7.83,7.97
3/29/2016 14:30,8.13,8.18,7.85,7.86,8.23,8.17,7.86,7.86,7.98
3/29/2016 14:45,8.15,8.18,7.82,7.87,8.24,8.15,7.84,7.82,7.98
3/29/2016 15:00,8.13,8.15,7.82,7.87,8.24,8.13,7.84,7.78,7.97
3/29/2016 15:15,8.15,8.17,7.84,7.87,8.24,8.17,7.82,7.83,7.97
3/29/2016 15:30,8.15,8.18,7.84,7.87,8.24,8.17,7.82,7.82,7.97
3/29/2016 15:45,8.15,8.17,7.8,7.87,8.25,8.16,7.82,7.8,7.98
3/29/2016 16:00,8.15,8.17,7.82,7.87,8.25,8.16,7.8,7.78,7.96
3/29/2016 16:15,8.15,8.17,7.8,7.87,8.24,8.13,7.8,7.76,7.96
3/29/2016 16:30,8.15,8.17,7.8,7.86,8.25,8.12,7.82,7.78,7.95
3/29/2016 16:45,8.15,8.17,7.78,7.86,8.24,8.12,7.79,7.77,7.96
3/29/2016 17:00,8.15,8.17,7.79,7.84,8.24,8.12,7.78,7.76,7.98
3/29/2016 17:15,8.15,8.16,7.77,7.83,8.23,8.11,7.78,7.76,7.96
3/29/2016 17:30,8.15,8.16,7.77,7.83,8.23,8.1,7.79,7.78,7.95
3/29/2016 17:45,8.15,8.16,7.76,7.82,8.23,8.1,7.77,7.73,7.96
3/29/2016 18:00,8.13,8.15,7.76,7.81,8.23,8.09,7.77,7.73,7.95
3/29/2016 18:15,8.13,8.15,7.76,7.8,8.22,8.09,7.76,7.73,7.95
3/29/2016 18:30,8.12,8.15,7.77,7.79,8.2,8.08,7.76,7.73,7.94
3/29/2016 18:45,8.12,8.14,7.73,7.77,8.2,8.07,7.75,7.72,7.94
