Date,pH.14,pH.15,pH.13
6/16/2016 0:00,8.14,7.88,7.73
6/16/2016 0:15,8.13,7.88,7.72
6/16/2016 0:30,8.12,7.87,7.72
6/16/2016 0:45,8.12,7.87,7.72
6/16/2016 1:00,8.12,7.87,7.72
6/16/2016 1:15,8.12,7.87,7.72
6/16/2016 1:30,8.1,7.87,7.71
6/16/2016 1:45,8.1,7.87,7.71
6/16/2016 2:00,8.09,7.87,7.71
6/16/2016 2:15,8.09,7.87,7.71
6/16/2016 2:30,8.08,7.87,7.71
6/16/2016 2:45,8.08,7.87,7.71
6/16/2016 3:00,8.06,7.87,7.7
6/16/2016 3:15,8.06,7.87,7.7
6/16/2016 3:30,8.06,7.87,7.7
6/16/2016 3:45,8.08,7.87,7.7
6/16/2016 4:00,8.06,7.87,7.7
6/16/2016 4:15,8.05,7.87,7.7
6/16/2016 4:30,8.05,7.86,7.7
6/16/2016 4:45,8.06,7.86,7.7
6/16/2016 5:00,8.06,7.86,7.7
6/16/2016 5:15,8.06,7.86,7.7
6/16/2016 5:30,8.06,7.86,7.7
6/16/2016 5:45,8.05,7.86,7.69
6/16/2016 6:00,8.05,7.86,7.69
6/16/2016 6:15,8.05,7.85,7.69
6/16/2016 6:30,8.03,7.85,7.67
6/16/2016 6:45,8.02,7.85,7.67
6/16/2016 7:00,8.02,7.85,7.68
6/16/2016 7:15,8.02,7.86,7.68
6/16/2016 7:30,8.02,7.86,7.69
6/16/2016 7:45,8.02,7.86,7.69
6/16/2016 8:00,8.04,7.87,7.69
6/16/2016 8:15,8.02,7.87,7.7
6/16/2016 8:30,8.02,7.87,7.72
6/16/2016 8:45,8.02,7.88,7.73
6/16/2016 9:00,8.04,7.89,7.74
6/16/2016 9:15,8.04,7.91,7.74
6/16/2016 9:30,8.06,7.92,7.76
6/16/2016 9:45,8.07,7.93,7.78
6/16/2016 10:00,8.08,7.94,7.78
6/16/2016 10:15,8.08,7.95,7.78
6/16/2016 10:30,8.08,7.96,7.8
6/16/2016 10:45,8.09,7.96,7.82
6/16/2016 11:00,8.11,7.98,7.83
6/16/2016 11:15,8.14,7.99,7.77
6/16/2016 11:30,8.15,7.99,7.76
6/16/2016 11:45,8.16,8.01,7.78
6/16/2016 12:00,8.17,8.02,7.79
6/16/2016 12:15,8.18,8.03,7.79
6/16/2016 12:30,8.19,8.03,7.77
6/16/2016 12:45,8.21,8.04,7.81
6/16/2016 13:00,8.22,8.07,7.79
6/16/2016 13:15,8.22,8.07,7.79
6/16/2016 13:30,8.23,8.06,7.83
6/16/2016 13:45,8.23,8.05,7.81
6/16/2016 14:00,8.24,8.05,7.81
6/16/2016 14:15,8.25,8.06,7.84
6/16/2016 14:30,8.25,8.06,7.85
6/16/2016 14:45,8.25,8.05,7.82
6/16/2016 15:00,8.25,8.05,7.84
6/16/2016 15:15,8.25,8.05,7.82
6/16/2016 15:30,8.25,8.05,7.82
6/16/2016 15:45,8.24,8.04,7.8
6/16/2016 16:00,8.24,8.03,7.8
6/16/2016 16:15,8.24,8.05,7.8
6/16/2016 16:30,8.24,8.04,7.8
6/16/2016 16:45,8.24,8.05,7.78
6/16/2016 17:00,8.24,8.03,7.78
6/16/2016 17:15,8.24,8.02,7.78
6/16/2016 17:30,8.23,8.02,7.78
6/16/2016 17:45,8.23,8.01,7.76
6/16/2016 18:00,8.22,8,7.78
6/16/2016 18:15,8.22,7.99,7.76
6/16/2016 18:30,8.21,7.99,7.76
6/16/2016 18:45,8.21,7.98,7.74
6/16/2016 19:00,8.2,7.97,7.74
6/16/2016 19:15,8.2,7.97,7.74
6/16/2016 19:30,8.18,7.96,7.74
6/16/2016 19:45,8.17,7.95,7.74
6/16/2016 20:00,8.17,7.95,7.74
6/16/2016 20:15,8.16,7.94,7.74
6/16/2016 20:30,8.15,7.94,7.75
6/16/2016 20:45,8.15,7.93,7.72
6/16/2016 21:00,8.14,7.93,7.73
6/16/2016 21:15,8.12,7.93,7.72
6/16/2016 21:30,8.11,7.93,7.73
6/16/2016 21:45,8.11,7.93,7.73
6/16/2016 22:00,8.13,7.92,7.72
6/16/2016 22:15,8.09,7.92,7.72
6/16/2016 22:30,8.1,7.92,7.71
6/16/2016 22:45,8.1,7.91,7.71
6/16/2016 23:00,8.09,7.91,7.71
6/16/2016 23:15,8.09,7.91,7.71
6/16/2016 23:30,8.08,7.91,7.71
6/16/2016 23:45,8.08,7.89,7.71
6/17/2016 0:00,8.05,7.89,7.72
6/17/2016 0:15,8.05,7.89,7.71
6/17/2016 0:30,8.05,7.89,7.71
6/17/2016 0:45,8.04,7.88,7.69
6/17/2016 1:00,8.02,7.88,7.69
6/17/2016 1:15,8.02,7.88,7.69
6/17/2016 1:30,8.02,7.88,7.71
6/17/2016 1:45,8.02,7.87,7.69
6/17/2016 2:00,8.02,7.87,7.69
6/17/2016 2:15,8.02,7.87,7.69
6/17/2016 2:30,8,7.87,7.69
6/17/2016 2:45,8,7.86,7.69
6/17/2016 3:00,8,7.86,7.68
6/17/2016 3:15,8,7.86,7.68
6/17/2016 3:30,8,7.86,7.67
6/17/2016 3:45,8,7.86,7.66
6/17/2016 4:00,8,7.86,7.67
6/17/2016 4:15,7.99,7.86,7.67
6/17/2016 4:30,7.99,7.86,7.69
6/17/2016 4:45,7.99,7.85,7.67
6/17/2016 5:00,7.99,7.85,7.66
6/17/2016 5:15,7.99,7.85,7.67
6/17/2016 5:30,7.99,7.85,7.65
6/17/2016 5:45,7.98,7.85,7.65
6/17/2016 6:00,7.98,7.85,7.65
6/17/2016 6:15,7.98,7.85,7.64
6/17/2016 6:30,7.98,7.85,7.65
6/17/2016 6:45,7.98,7.85,7.66
6/17/2016 7:00,7.98,7.85,7.65
6/17/2016 7:15,7.97,7.85,7.65
6/17/2016 7:30,7.98,7.85,7.65
6/17/2016 7:45,7.97,7.85,7.65
6/17/2016 8:00,7.97,7.85,7.65
6/17/2016 8:15,7.97,7.85,7.65
6/17/2016 8:30,7.98,7.85,7.68
6/17/2016 8:45,7.98,7.85,7.66
