Date,pH.13,pH.14,pH.15
6/24/2016 0:10,7.71,8.01,7.93
6/24/2016 0:25,7.71,8.01,7.92
6/24/2016 0:40,7.68,8.01,7.91
6/24/2016 0:55,7.68,8.01,7.91
6/24/2016 1:10,7.69,8.01,7.91
6/24/2016 1:25,7.69,8.01,7.91
6/24/2016 1:40,7.69,8.01,7.91
6/24/2016 1:55,7.69,8,7.91
6/24/2016 2:10,7.69,7.99,7.9
6/24/2016 2:25,7.69,7.99,7.9
6/24/2016 2:40,7.69,7.99,7.9
6/24/2016 2:55,7.69,7.99,7.89
6/24/2016 3:10,7.66,7.99,7.89
6/24/2016 3:25,7.66,7.99,7.89
6/24/2016 3:40,7.67,7.99,7.89
6/24/2016 3:55,7.67,7.98,7.87
6/24/2016 4:10,7.67,7.98,7.87
6/24/2016 4:25,7.67,7.98,7.87
6/24/2016 4:40,7.67,7.97,7.86
6/24/2016 4:55,7.67,7.97,7.86
6/24/2016 5:10,7.68,7.97,7.86
6/24/2016 5:25,7.64,7.96,7.85
6/24/2016 5:40,7.64,7.96,7.85
6/24/2016 5:55,7.64,7.95,7.84
6/24/2016 6:10,7.64,7.95,7.84
6/24/2016 6:25,7.65,7.94,7.84
6/24/2016 6:40,7.65,7.94,7.83
6/24/2016 6:55,7.64,7.94,7.83
6/24/2016 7:10,7.65,7.94,7.83
6/24/2016 7:25,7.64,7.94,7.83
6/24/2016 7:40,7.66,7.96,7.83
6/24/2016 7:55,7.65,7.96,7.83
6/24/2016 8:10,7.66,7.97,7.86
6/24/2016 8:25,7.64,7.97,7.86
6/24/2016 8:40,7.65,7.98,7.86
6/24/2016 8:55,7.69,7.99,7.87
6/24/2016 9:10,7.71,8,7.88
6/24/2016 9:25,7.69,8.02,7.87
6/24/2016 9:40,7.67,8.03,7.9
6/24/2016 9:55,7.7,8.04,7.91
6/24/2016 10:10,7.72,8.05,7.93
6/24/2016 10:25,7.75,8.07,7.95
6/24/2016 10:40,7.77,8.09,7.97
6/24/2016 10:55,7.73,8.11,7.96
6/24/2016 11:10,7.75,8.12,7.98
6/24/2016 11:25,7.71,8.12,7.97
6/24/2016 11:40,7.75,8.15,8.01
6/24/2016 11:55,7.75,8.14,8.02
6/24/2016 12:10,7.82,8.18,8.06
6/24/2016 12:25,7.77,8.15,8.03
6/24/2016 12:40,7.76,8.16,8.03
6/24/2016 12:55,7.8,8.2,8.06
6/24/2016 13:10,7.8,8.19,8.06
6/24/2016 13:25,7.81,8.2,8.07
6/24/2016 13:40,7.81,8.21,8.07
6/24/2016 13:55,7.8,8.21,8.08
6/24/2016 14:10,7.83,8.21,8.09
6/24/2016 14:25,7.81,8.21,8.08
6/24/2016 14:40,7.82,8.2,8.11
6/24/2016 14:55,7.85,8.22,8.12
