Tank,Mass,Salinity
20160609_CRM,100,33.607
20160609_CRM2,100,33.607
20160609_TANK2,99.99,33.4
20160609_TANK3,99.97,33.4
20160609_TANK5,99.99,33.6
20160609_TANK6,99.92,33.6
20160609_TANK8,99.95,33.6
20160609_TANK9,100.02,33.8
20160609_TANK10,100.07,33.3
20160609_TANK11,99.99,33.3
20160609_TANK12,100.07,33.2
