"Names","TA","Mass"
"20160609_CRM.csv",2204.97999612875,100,NA
"20160609_CRM2.csv",2219.12810939054,100,NA
"20160609_TANK10.csv",2096.42987262988,100.07,NA
"20160609_TANK11.csv",2099.04864905241,99.99,NA
"20160609_TANK12.csv",2109.14615390702,100.07,NA
"20160609_TANK2.csv",2100.29114261248,99.99,NA
"20160609_TANK3.csv",2095.76642805107,99.97,NA
"20160609_TANK5.csv",2101.95668209367,99.99,NA
"20160609_TANK6.csv",2094.44984861188,99.92,NA
"20160609_TANK8.csv",2090.1370823031,99.95,NA
"20160609_TANK9.csv",2109.15035952542,100.02,NA
"20160609mass.csv",NA,NA,NA
"TA 20160609 .csv",NA,NA,NA
