"Names","TA","Mass"
"20160725_CRM.csv",2225.45403514855,99.98,NA
"20160725_TANK10.csv",2113.72182507778,99.96,NA
"20160725_TANK11.csv",2154.54242200282,99.93,NA
"20160725_TANK12.csv",2100.15061454035,99.99,NA
"20160725_TANK13.csv",2139.65668020845,99.9,NA
"20160725_TANK14.csv",1968.17688564872,99.93,NA
"20160725_TANK15.csv",1986.62493222181,99.95,NA
"20160725_TANK16.csv",2147.59765241512,100.09,NA
"20160725_TANK17.csv",2163.74636539549,99.96,NA
"20160725_TANK18.csv",2095.38142106334,100.07,NA
"20160725mass.csv",NA,NA,NA
"TA 20160725 .csv",NA,NA,NA
