Tank,Mass,Salinity
20160407_CRM,99.94,33.561
20160407_TANK10,100.2,34.1
20160407_TANK11,100,34.2
20160407_TANK12,99.98,34.3
20160407_TANK13,99.99,34.2
20160407_TANK14,99.97,34.3
20160407_TANK15,99.99,34.5
20160407_TANK16,100.13,34
20160407_TANK17,99.95,34.2
20160407_TANK18,100,34.1
