Site Name ,TANKS
Site Number ,3
Logger ,Integrating Light Sensor
Logger Serial Number ,4806


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/07/2016 , 15:30:00,4023,4023
2,08/07/2016 , 15:45:00,2843,2843
3,08/07/2016 , 16:00:00,2188,2188
4,08/07/2016 , 16:15:00,605,605
5,08/07/2016 , 16:30:00,0,0
6,08/07/2016 , 16:45:00,0,0
7,08/07/2016 , 17:00:00,0,0
8,08/07/2016 , 17:15:00,0,0
9,08/07/2016 , 17:30:00,0,0
10,08/07/2016 , 17:45:00,0,0
11,08/07/2016 , 18:00:00,0,0
12,08/07/2016 , 18:15:00,0,0
13,08/07/2016 , 18:30:00,0,0
14,08/07/2016 , 18:45:00,0,0
15,08/07/2016 , 19:00:00,0,0
16,08/07/2016 , 19:15:00,0,0
17,08/07/2016 , 19:30:00,0,0
18,08/07/2016 , 19:45:00,0,0
19,08/07/2016 , 20:00:00,0,0
20,08/07/2016 , 20:15:00,0,0
21,08/07/2016 , 20:30:00,0,0
22,08/07/2016 , 20:45:00,0,0
23,08/07/2016 , 21:00:00,0,0
24,08/07/2016 , 21:15:00,0,0
25,08/07/2016 , 21:30:00,0,0
26,08/07/2016 , 21:45:00,0,0
27,08/07/2016 , 22:00:00,0,0
28,08/07/2016 , 22:15:00,0,0
29,08/07/2016 , 22:30:00,0,0
30,08/07/2016 , 22:45:00,0,0
31,08/07/2016 , 23:00:00,0,0
32,08/07/2016 , 23:15:00,0,0
33,08/07/2016 , 23:30:00,0,0
34,08/07/2016 , 23:45:00,0,0
35,08/07/2016 , 24:00:00,0,0
36,09/07/2016 , 00:15:00,0,0
37,09/07/2016 , 00:30:00,0,0
38,09/07/2016 , 00:45:00,0,0
39,09/07/2016 , 01:00:00,0,0
40,09/07/2016 , 01:15:00,0,0
41,09/07/2016 , 01:30:00,0,0
42,09/07/2016 , 01:45:00,0,0
43,09/07/2016 , 02:00:00,0,0
44,09/07/2016 , 02:15:00,0,0
45,09/07/2016 , 02:30:00,0,0
46,09/07/2016 , 02:45:00,0,0
47,09/07/2016 , 03:00:00,0,0
48,09/07/2016 , 03:15:00,0,0
49,09/07/2016 , 03:30:00,0,0
50,09/07/2016 , 03:45:00,0,0
51,09/07/2016 , 04:00:00,0,0
52,09/07/2016 , 04:15:00,0,0
53,09/07/2016 , 04:30:00,0,0
54,09/07/2016 , 04:45:00,0,0
55,09/07/2016 , 05:00:00,0,0
56,09/07/2016 , 05:15:00,0,0
57,09/07/2016 , 05:30:00,0,0
58,09/07/2016 , 05:45:00,0,0
59,09/07/2016 , 06:00:00,0,0
60,09/07/2016 , 06:15:00,0,0
61,09/07/2016 , 06:30:00,0,0
62,09/07/2016 , 06:45:00,0,0
63,09/07/2016 , 07:00:00,0,0
64,09/07/2016 , 07:15:00,0,0
65,09/07/2016 , 07:30:00,0,0
66,09/07/2016 , 07:45:00,0,0
67,09/07/2016 , 08:00:00,0,0
68,09/07/2016 , 08:15:00,0,0
69,09/07/2016 , 08:30:00,0,0
70,09/07/2016 , 08:45:00,94,94
71,09/07/2016 , 09:00:00,1210,1210
72,09/07/2016 , 09:15:00,2245,2245
73,09/07/2016 , 09:30:00,3276,3276
74,09/07/2016 , 09:45:00,2366,2366
75,09/07/2016 , 10:00:00,2873,2873
76,09/07/2016 , 10:15:00,1548,1548
77,09/07/2016 , 10:30:00,3507,3507
78,09/07/2016 , 10:45:00,4267,4267
79,09/07/2016 , 11:00:00,6435,6435
80,09/07/2016 , 11:15:00,7647,7647
81,09/07/2016 , 11:30:00,7828,7828
82,09/07/2016 , 11:45:00,8016,8016
83,09/07/2016 , 12:00:00,6597,6597
84,09/07/2016 , 12:15:00,7862,7862
85,09/07/2016 , 12:30:00,8182,8182
86,09/07/2016 , 12:45:00,8149,8149
87,09/07/2016 , 13:00:00,7027,7027
88,09/07/2016 , 13:15:00,6079,6079
89,09/07/2016 , 13:30:00,6653,6653
90,09/07/2016 , 13:45:00,7700,7700
91,09/07/2016 , 14:00:00,3801,3801
92,09/07/2016 , 14:15:00,7340,7340
93,09/07/2016 , 14:30:00,6903,6903
94,09/07/2016 , 14:45:00,6319,6319
95,09/07/2016 , 15:00:00,5000,5000
96,09/07/2016 , 15:15:00,4192,4192
97,09/07/2016 , 15:30:00,3453,3453
98,09/07/2016 , 15:45:00,2744,2744
99,09/07/2016 , 16:00:00,2079,2079
100,09/07/2016 , 16:15:00,428,428
101,09/07/2016 , 16:30:00,0,0
102,09/07/2016 , 16:45:00,0,0
103,09/07/2016 , 17:00:00,0,0
104,09/07/2016 , 17:15:00,0,0
105,09/07/2016 , 17:30:00,0,0
106,09/07/2016 , 17:45:00,0,0
107,09/07/2016 , 18:00:00,0,0
108,09/07/2016 , 18:15:00,0,0
109,09/07/2016 , 18:30:00,0,0
