"Names","TA","Mass"
"20160225_CRM.csv",2203.28927006383,100.2,NA
"20160225_CRM2.csv",2213.56726966007,99.82,NA
"20160225_Tank10.csv",2191.0186790809,100.01,NA
"20160225_Tank11.csv",2158.2187329903,100.1,NA
"20160225_Tank12.csv",2158.77465896309,99.97,NA
"20160225_Tank13.csv",2194.56545065045,100,NA
"20160225_Tank14.csv",2195.78027317713,100.1,NA
"20160225_Tank15.csv",2192.96440759998,100,NA
"20160225_Tank16.csv",2196.02180244141,99.99,NA
"20160225_Tank17.csv",2195.72283834141,99.99,NA
"20160225_Tank18.csv",2192.89240055462,100,NA
"20160225mass.csv",NA,NA,NA
