Tank,Mass,Salinity
20160307_CRM,100.17,33.561
20160307_TANK10,99.37,34.4
20160307_TANK11,99.28,34.2
20160307_TANK12,99.13,34.1
20160307_TANK13,100.09,34.3
20160307_TANK14,100.03,34.1
20160307_TANK15,100.68,34.1
20160307_TANK16,100,34.3
20160307_TANK17,100.04,34.1
20160307_TANK18,100.06,34.1
