"Names","TA","Mass"
"20160307_CRM.csv",2219.47919933416,100.17,NA
"20160307_TANK10.csv",2187.44163899648,99.37,NA
"20160307_TANK11.csv",2173.51987187567,99.28,NA
"20160307_TANK12.csv",2186.45488877695,99.13,NA
"20160307_TANK13.csv",2185.29209824489,100.09,NA
"20160307_TANK14.csv",2185.76080675222,100.03,NA
"20160307_TANK15.csv",2189.42352470697,100.68,NA
"20160307_TANK16.csv",2188.06166660421,100,NA
"20160307_TANK17.csv",2185.59546461288,100.04,NA
"20160307_TANK18.csv",2189.74181636359,100.06,NA
"20160307mass.csv",NA,NA,NA
