Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6383


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,07/04/2016 , 16:00:00,261,261
2,07/04/2016 , 16:15:00,217,217
3,07/04/2016 , 16:30:00,157,157
4,07/04/2016 , 16:45:00,290,290
5,07/04/2016 , 17:00:00,415,415
6,07/04/2016 , 17:15:00,321,321
7,07/04/2016 , 17:30:00,193,193
8,07/04/2016 , 17:45:00,165,165
9,07/04/2016 , 18:00:00,94,94
10,07/04/2016 , 18:15:00,100,100
11,07/04/2016 , 18:30:00,50,50
12,07/04/2016 , 18:45:00,20,20
13,07/04/2016 , 19:00:00,6,6
14,07/04/2016 , 19:15:00,0,0
15,07/04/2016 , 19:30:00,0,0
16,07/04/2016 , 19:45:00,0,0
17,07/04/2016 , 20:00:00,0,0
18,07/04/2016 , 20:15:00,0,0
19,07/04/2016 , 20:30:00,0,0
20,07/04/2016 , 20:45:00,0,0
21,07/04/2016 , 21:00:00,0,0
22,07/04/2016 , 21:15:00,0,0
23,07/04/2016 , 21:30:00,0,0
24,07/04/2016 , 21:45:00,0,0
25,07/04/2016 , 22:00:00,0,0
26,07/04/2016 , 22:15:00,0,0
27,07/04/2016 , 22:30:00,0,0
28,07/04/2016 , 22:45:00,0,0
29,07/04/2016 , 23:00:00,0,0
30,07/04/2016 , 23:15:00,0,0
31,07/04/2016 , 23:30:00,0,0
32,07/04/2016 , 23:45:00,0,0
33,07/04/2016 , 24:00:00,0,0
34,08/04/2016 , 00:15:00,0,0
35,08/04/2016 , 00:30:00,0,0
36,08/04/2016 , 00:45:00,0,0
37,08/04/2016 , 01:00:00,0,0
38,08/04/2016 , 01:15:00,0,0
39,08/04/2016 , 01:30:00,0,0
40,08/04/2016 , 01:45:00,0,0
41,08/04/2016 , 02:00:00,0,0
42,08/04/2016 , 02:15:00,0,0
43,08/04/2016 , 02:30:00,0,0
44,08/04/2016 , 02:45:00,0,0
45,08/04/2016 , 03:00:00,0,0
46,08/04/2016 , 03:15:00,0,0
47,08/04/2016 , 03:30:00,0,0
48,08/04/2016 , 03:45:00,0,0
49,08/04/2016 , 04:00:00,0,0
50,08/04/2016 , 04:15:00,0,0
51,08/04/2016 , 04:30:00,0,0
52,08/04/2016 , 04:45:00,0,0
53,08/04/2016 , 05:00:00,0,0
54,08/04/2016 , 05:15:00,0,0
55,08/04/2016 , 05:30:00,0,0
56,08/04/2016 , 05:45:00,0,0
57,08/04/2016 , 06:00:00,0,0
58,08/04/2016 , 06:15:00,0,0
59,08/04/2016 , 06:30:00,6,6
60,08/04/2016 , 06:45:00,27,27
61,08/04/2016 , 07:00:00,57,57
62,08/04/2016 , 07:15:00,69,69
63,08/04/2016 , 07:30:00,183,183
64,08/04/2016 , 07:45:00,337,337
65,08/04/2016 , 08:00:00,398,398
66,08/04/2016 , 08:15:00,478,478
67,08/04/2016 , 08:30:00,478,478
68,08/04/2016 , 08:45:00,613,613
69,08/04/2016 , 09:00:00,986,986
70,08/04/2016 , 09:15:00,952,952
71,08/04/2016 , 09:30:00,685,685
72,08/04/2016 , 09:45:00,569,569
73,08/04/2016 , 10:00:00,980,980
74,08/04/2016 , 10:15:00,1036,1036
75,08/04/2016 , 10:30:00,1726,1726
76,08/04/2016 , 10:45:00,1651,1651
77,08/04/2016 , 11:00:00,2210,2210
78,08/04/2016 , 11:15:00,1932,1932
79,08/04/2016 , 11:30:00,1505,1505
80,08/04/2016 , 11:45:00,3659,3659
81,08/04/2016 , 12:00:00,2300,2300
82,08/04/2016 , 12:15:00,3360,3360
83,08/04/2016 , 12:30:00,3051,3051
84,08/04/2016 , 12:45:00,3072,3072
85,08/04/2016 , 13:00:00,3292,3292
86,08/04/2016 , 13:15:00,2967,2967
87,08/04/2016 , 13:30:00,2404,2404
88,08/04/2016 , 13:45:00,1552,1552
89,08/04/2016 , 14:00:00,1867,1867
90,08/04/2016 , 14:15:00,1395,1395
91,08/04/2016 , 14:30:00,794,794
92,08/04/2016 , 14:45:00,834,834
93,08/04/2016 , 15:00:00,757,757
94,08/04/2016 , 15:15:00,772,772
95,08/04/2016 , 15:30:00,623,623
96,08/04/2016 , 15:45:00,498,498
97,08/04/2016 , 16:00:00,745,745
98,08/04/2016 , 16:15:00,603,603
99,08/04/2016 , 16:30:00,568,568
100,08/04/2016 , 16:45:00,540,540
101,08/04/2016 , 17:00:00,388,388
102,08/04/2016 , 17:15:00,493,493
103,08/04/2016 , 17:30:00,370,370
104,08/04/2016 , 17:45:00,318,318
105,08/04/2016 , 18:00:00,206,206
106,08/04/2016 , 18:15:00,121,121
107,08/04/2016 , 18:30:00,71,71
108,08/04/2016 , 18:45:00,34,34
109,08/04/2016 , 19:00:00,9,9
110,08/04/2016 , 19:15:00,0,0
