Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6379


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,07/04/2016 , 16:00:00,233,233
2,07/04/2016 , 16:15:00,193,193
3,07/04/2016 , 16:30:00,140,140
4,07/04/2016 , 16:45:00,255,255
5,07/04/2016 , 17:00:00,366,366
6,07/04/2016 , 17:15:00,281,281
7,07/04/2016 , 17:30:00,170,170
8,07/04/2016 , 17:45:00,145,145
9,07/04/2016 , 18:00:00,81,81
10,07/04/2016 , 18:15:00,88,88
11,07/04/2016 , 18:30:00,44,44
12,07/04/2016 , 18:45:00,18,18
13,07/04/2016 , 19:00:00,5,5
14,07/04/2016 , 19:15:00,0,0
15,07/04/2016 , 19:30:00,0,0
16,07/04/2016 , 19:45:00,0,0
17,07/04/2016 , 20:00:00,0,0
18,07/04/2016 , 20:15:00,0,0
19,07/04/2016 , 20:30:00,0,0
20,07/04/2016 , 20:45:00,0,0
21,07/04/2016 , 21:00:00,0,0
22,07/04/2016 , 21:15:00,0,0
23,07/04/2016 , 21:30:00,0,0
24,07/04/2016 , 21:45:00,0,0
25,07/04/2016 , 22:00:00,0,0
26,07/04/2016 , 22:15:00,0,0
27,07/04/2016 , 22:30:00,0,0
28,07/04/2016 , 22:45:00,0,0
29,07/04/2016 , 23:00:00,0,0
30,07/04/2016 , 23:15:00,0,0
31,07/04/2016 , 23:30:00,0,0
32,07/04/2016 , 23:45:00,0,0
33,07/04/2016 , 24:00:00,0,0
34,08/04/2016 , 00:15:00,0,0
35,08/04/2016 , 00:30:00,0,0
36,08/04/2016 , 00:45:00,0,0
37,08/04/2016 , 01:00:00,0,0
38,08/04/2016 , 01:15:00,0,0
39,08/04/2016 , 01:30:00,0,0
40,08/04/2016 , 01:45:00,0,0
41,08/04/2016 , 02:00:00,0,0
42,08/04/2016 , 02:15:00,0,0
43,08/04/2016 , 02:30:00,0,0
44,08/04/2016 , 02:45:00,0,0
45,08/04/2016 , 03:00:00,0,0
46,08/04/2016 , 03:15:00,0,0
47,08/04/2016 , 03:30:00,0,0
48,08/04/2016 , 03:45:00,0,0
49,08/04/2016 , 04:00:00,0,0
50,08/04/2016 , 04:15:00,0,0
51,08/04/2016 , 04:30:00,0,0
52,08/04/2016 , 04:45:00,0,0
53,08/04/2016 , 05:00:00,0,0
54,08/04/2016 , 05:15:00,0,0
55,08/04/2016 , 05:30:00,0,0
56,08/04/2016 , 05:45:00,0,0
57,08/04/2016 , 06:00:00,0,0
58,08/04/2016 , 06:15:00,0,0
59,08/04/2016 , 06:30:00,6,6
60,08/04/2016 , 06:45:00,23,23
61,08/04/2016 , 07:00:00,52,52
62,08/04/2016 , 07:15:00,62,62
63,08/04/2016 , 07:30:00,166,166
64,08/04/2016 , 07:45:00,306,306
65,08/04/2016 , 08:00:00,361,361
66,08/04/2016 , 08:15:00,428,428
67,08/04/2016 , 08:30:00,434,434
68,08/04/2016 , 08:45:00,553,553
69,08/04/2016 , 09:00:00,860,860
70,08/04/2016 , 09:15:00,852,852
71,08/04/2016 , 09:30:00,617,617
72,08/04/2016 , 09:45:00,510,510
73,08/04/2016 , 10:00:00,873,873
74,08/04/2016 , 10:15:00,944,944
75,08/04/2016 , 10:30:00,1528,1528
76,08/04/2016 , 10:45:00,1454,1454
77,08/04/2016 , 11:00:00,1860,1860
78,08/04/2016 , 11:15:00,1589,1589
79,08/04/2016 , 11:30:00,1281,1281
80,08/04/2016 , 11:45:00,2829,2829
81,08/04/2016 , 12:00:00,1779,1779
82,08/04/2016 , 12:15:00,2255,2255
83,08/04/2016 , 12:30:00,2003,2003
84,08/04/2016 , 12:45:00,2142,2142
85,08/04/2016 , 13:00:00,2217,2217
86,08/04/2016 , 13:15:00,2111,2111
87,08/04/2016 , 13:30:00,1801,1801
88,08/04/2016 , 13:45:00,1298,1298
89,08/04/2016 , 14:00:00,1558,1558
90,08/04/2016 , 14:15:00,1194,1194
91,08/04/2016 , 14:30:00,659,659
92,08/04/2016 , 14:45:00,713,713
93,08/04/2016 , 15:00:00,657,657
94,08/04/2016 , 15:15:00,662,662
95,08/04/2016 , 15:30:00,548,548
96,08/04/2016 , 15:45:00,456,456
97,08/04/2016 , 16:00:00,709,709
98,08/04/2016 , 16:15:00,530,530
99,08/04/2016 , 16:30:00,522,522
100,08/04/2016 , 16:45:00,485,485
101,08/04/2016 , 17:00:00,343,343
102,08/04/2016 , 17:15:00,405,405
103,08/04/2016 , 17:30:00,289,289
104,08/04/2016 , 17:45:00,283,283
105,08/04/2016 , 18:00:00,179,179
106,08/04/2016 , 18:15:00,106,106
107,08/04/2016 , 18:30:00,62,62
108,08/04/2016 , 18:45:00,30,30
109,08/04/2016 , 19:00:00,7,7
110,08/04/2016 , 19:15:00,0,0
111,08/04/2016 , 19:30:00,0,0
