Tank,Mass,Salinity
20160421_CRM,100.11,32.985
20160421_TANK10,100.04,33.2
20160421_TANK11,100.01,33.3
20160421_TANK12,99.5,33.2
20160421_TANK13,99.96,33.1
20160421_TANK14,100.02,33.1
20160421_TANK15,99.97,33.2
20160421_TANK16,99.66,33.4
20160421_TANK17,100.11,33.2
20160421_TANK18,99.62,33.1
