Tank,Mass,Salinity
20160608_CRM,99.98,33.607
20160608_S38,99.96,
20160608_S33,99.97,
20160608_S30,100.25,
20160608_S34,100.23,
20160608_S37,99.92,
20160608_S11,99.95,
20160608_S7,99.92,
20160608_S32,100.14,
20160608_S14,100.05,
20160608_S15,99.96,
20160608_S17,100.05,
20160608_S18,99.98,
20160608_S19,99.98,
20160608_S20,99.98,
20160608_S27,99.99,
20160608_S35,100.04,
