"Names","TA","Mass"
"20160310_CRM.csv",2206.21821280053,100.78,NA
"20160310_TANK10.csv",2173.28870009288,99.9,NA
"20160310_TANK11.csv",2181.28116962199,99.25,NA
"20160310_TANK12.csv",2190.75599586884,100.59,NA
"20160310_TANK13.csv",2185.94806645251,100.02,NA
"20160310_TANK14.csv",2195.8250486883,99.12,NA
"20160310_TANK15.csv",2177.85891325251,99.93,NA
"20160310_TANK16.csv",2191.29427792232,99.97,NA
"20160310_TANK17.csv",2183.7271972459,99.7,NA
"20160310_TANK18.csv",2185.22469337584,99.88,NA
"20160310mass.csv",NA,NA,NA
