Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 2/9",,,,
Measured Values,,"Scope 1/1, Sample 2/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,56.9,,22.5,,
28,0.0400,-15.0,0.0400,22.5,-71.9,
58,0.0800,-38.3,0.0400,22.4,-23.3,
61,0.1200,-39.1,0.0400,22.4,-0.8,
64,0.1600,-39.2,0.0400,22.4,-0.1,
94,0.2000,-30.1,0.0400,22.4,9.1,
117,0.2400,-23.8,0.0400,22.4,6.3,
134,0.2800,-19.4,0.0400,22.4,4.4,
151,0.3200,-15.3,0.0400,22.4,4.1,
163,0.3600,-12.5,0.0400,22.3,2.8,
176,0.4000,-9.6,0.0400,22.3,2.9,
185,0.4400,-7.6,0.0400,22.3,2.0,
205,0.4800,-2.4,0.0400,22.3,5.2,
214,0.5200,-0.5,0.0400,22.3,1.9,
217,0.5600,-0.8,0.0400,22.3,-0.3,
222,0.6000,-0.1,0.0400,22.3,0.7,
230,0.6400,2.6,0.0400,22.3,2.7,
238,0.6800,4.2,0.0400,22.3,1.6,
241,0.7200,4.8,0.0400,22.3,0.6,
244,0.7600,5.5,0.0400,22.3,0.7,
248,0.8000,6.1,0.0400,22.3,0.6,
272,0.8400,12.9,0.0400,22.2,6.8,
280,0.8800,14.5,0.0400,22.2,1.6,
287,0.9200,16.1,0.0400,22.2,1.6,
293,0.9600,17.4,0.0400,22.2,1.3,
303,1.0000,19.6,0.0400,22.2,2.2,
311,1.0400,21.1,0.0400,22.2,1.5,
319,1.0800,22.8,0.0400,22.2,1.7,
328,1.1200,25.0,0.0400,22.2,2.2,
335,1.1600,26.4,0.0400,22.2,1.4,
344,1.2000,28.2,0.0400,22.2,1.8,
351,1.2400,29.9,0.0400,22.2,1.7,
360,1.2800,31.9,0.0400,22.2,2.0,
369,1.3200,33.8,0.0400,22.2,1.9,
378,1.3600,35.7,0.0400,22.2,1.9,
388,1.4000,38.0,0.0400,22.2,2.3,
396,1.4400,40.1,0.0400,22.1,2.1,
406,1.4800,42.2,0.0400,22.1,2.1,
414,1.5200,44.2,0.0400,22.1,2.0,
426,1.5600,47.2,0.0400,22.1,3.0,
436,1.6000,49.4,0.0400,22.1,2.2,
448,1.6400,52.4,0.0400,22.1,3.0,
458,1.6800,55.0,0.0400,22.1,2.6,
469,1.7200,58.3,0.0400,22.1,3.3,
480,1.7600,61.6,0.0400,22.1,3.3,
493,1.8000,65.6,0.0400,22.1,4.0,
506,1.8400,69.7,0.0400,22.1,4.1,
520,1.8800,74.6,0.0400,22.1,4.9,
539,1.9200,80.4,0.0400,22.0,5.8,
558,1.9600,87.6,0.0400,22.0,7.2,
576,2.0000,97.0,0.0400,22.0,9.4,
600,2.0400,110.3,0.0400,22.0,13.3,
623,2.0800,128.5,0.0400,22.0,18.2,
642,2.1200,146.8,0.0400,22.0,18.3,385.04
652,2.1600,159.9,0.0400,22.0,13.1,330.25
659,2.2000,169.4,0.0400,22.0,9.5,246.39
666,2.2400,176.8,0.0400,22.0,7.4,166.75
671,2.2800,182.8,0.0400,22.0,6.0,120.59
797,2.3000,185.0,0.0200,21.9,2.2,111.91
802,2.3200,187.4,0.0200,21.9,2.4,103.82
808,2.3400,189.1,0.0200,21.9,1.7,94.92
813,2.3600,191.0,0.0200,21.9,1.9,88.07
818,2.3800,193.0,0.0200,21.8,2.0,84.26
823,2.4000,194.6,0.0200,21.9,1.6,78.62
