Tank,Mass,Salinity
20160602_CRM,100.03,33.607
20160602_TANK10,100.01,33.8
20160602_TANK11,99.98,33.8
20160602_TANK12,100,33.8
20160602_TANK13,100.02,33.5
20160602_TANK14,100.02,33.5
20160602_TANK15,100.02,33.5
20160602_TANK16,99.99,33.7
20160602_TANK17,100,33.7
20160602_TANK18,99.98,33.6
