"Names","TA","Mass"
"20160714_CRM.csv",2230.93839688297,100.03,NA
"20160714_TANK10.csv",2148.22739689762,99.88,NA
"20160714_TANK11.csv",2153.31869850178,99.65,NA
"20160714_TANK12.csv",2157.04203923518,99.6,NA
"20160714_TANK13.csv",2147.79290224085,99.26,NA
"20160714_TANK14.csv",2145.46206598603,99.74,NA
"20160714_TANK15.csv",2149.73004447358,100.51,NA
"20160714_TANK16.csv",2149.48752691051,100.38,NA
"20160714_TANK17.csv",2150.281384974,99.53,NA
"20160714_TANK18.csv",2145.59307235858,99.9,NA
"20160714_TANK4.csv",2133.63397298354,100.01,NA
"20160714_TANK5.csv",2137.62562281018,99.55,NA
"20160714_TANK6.csv",2153.05544732829,100.14,NA
"20160714_TANK8.csv",2138.49206580347,100.04,NA
"20160714_TANK9.csv",2154.30679771345,99.95,NA
"20160714mass.csv",NA,NA,NA
"TA 20160714 .csv",NA,NA,NA
