Date.Time,SN_10779056,SN_10779059,SN_10779060,SN_10779061,SN_10779062,SN_10779063,SN_10779064,SN_10779065,SN_10779067
3/2/16 0:00,24.46,24.388,24.388,24.412,24.388,24.508,24.436,24.291,24.171
3/2/16 0:15,24.436,24.363,24.339,24.388,24.363,24.46,24.412,24.243,24.146
3/2/16 0:30,24.388,24.339,24.315,24.363,24.315,24.412,24.363,24.219,24.098
3/2/16 0:45,24.363,24.315,24.291,24.315,24.291,24.363,24.339,24.195,24.074
3/2/16 1:00,24.315,24.291,24.291,24.315,24.267,24.339,24.315,24.171,24.05
3/2/16 1:15,24.291,24.267,24.267,24.291,24.243,24.291,24.291,24.146,24.026
3/2/16 1:30,24.267,24.243,24.243,24.267,24.219,24.267,24.267,24.122,24.002
3/2/16 1:45,24.243,24.219,24.219,24.243,24.195,24.219,24.267,24.098,23.978
3/2/16 2:00,24.219,24.219,24.219,24.219,24.171,24.195,24.219,24.074,23.93
3/2/16 2:15,24.195,24.195,24.195,24.219,24.146,24.146,24.219,24.05,23.93
3/2/16 2:30,24.171,24.171,24.171,24.195,24.122,24.122,24.195,24.026,23.905
3/2/16 2:45,24.146,24.146,24.171,24.171,24.098,24.098,24.171,24.026,23.881
3/2/16 3:00,24.122,24.146,24.146,24.146,24.074,24.05,24.146,24.002,23.857
3/2/16 3:15,24.098,24.122,24.122,24.146,24.05,24.026,24.122,23.978,23.833
3/2/16 3:30,24.074,24.098,24.122,24.122,24.026,24.002,24.122,23.954,23.809
3/2/16 3:45,24.05,24.098,24.098,24.098,24.002,23.978,24.098,23.93,23.785
3/2/16 4:00,24.026,24.074,24.074,24.098,23.978,23.93,24.074,23.93,23.761
3/2/16 4:15,24.002,24.05,24.074,24.074,23.954,23.905,24.074,23.905,23.737
3/2/16 4:30,23.978,24.05,24.05,24.05,23.93,23.881,24.05,23.881,23.713
3/2/16 4:45,23.954,24.026,24.05,24.05,23.93,23.857,24.026,23.881,23.689
3/2/16 5:00,23.954,24.002,24.026,24.026,23.905,23.833,24.026,23.857,23.689
3/2/16 5:15,23.93,24.002,24.002,24.002,23.881,23.785,24.002,23.833,23.665
3/2/16 5:30,23.905,23.978,24.002,24.002,23.857,23.761,23.978,23.833,23.641
3/2/16 5:45,23.881,23.954,23.978,23.978,23.833,23.737,23.978,23.809,23.617
3/2/16 6:00,23.857,23.954,23.978,23.978,23.833,23.713,23.954,23.785,23.593
3/2/16 6:15,23.857,23.954,23.978,23.954,23.809,23.689,23.954,23.785,23.593
3/2/16 6:30,23.833,23.93,23.954,23.954,23.785,23.665,23.93,23.785,23.569
3/2/16 6:45,23.833,23.93,23.954,23.954,23.785,23.665,23.93,23.761,23.569
3/2/16 7:00,23.809,23.93,23.954,23.954,23.785,23.641,23.93,23.761,23.569
3/2/16 7:15,23.785,23.93,23.954,23.954,23.761,23.641,23.93,23.761,23.569
3/2/16 7:30,23.785,23.905,23.954,23.954,23.761,23.617,23.93,23.761,23.545
3/2/16 7:45,23.785,23.93,23.954,23.954,23.761,23.617,23.954,23.761,23.569
3/2/16 8:00,23.785,23.93,23.954,23.978,23.761,23.617,23.954,23.785,23.569
3/2/16 8:15,23.785,23.93,23.978,23.978,23.785,23.641,23.978,23.785,23.593
3/2/16 8:30,23.809,23.954,23.978,24.002,23.785,23.641,24.002,23.809,23.593
3/2/16 8:45,23.809,23.954,24.002,24.026,23.785,23.641,24.002,23.809,23.593
3/2/16 9:00,23.833,23.978,24.002,24.026,23.785,23.641,24.026,23.833,23.617
3/2/16 9:15,23.833,23.978,24.002,24.05,23.809,23.641,24.026,23.833,23.617
3/2/16 9:30,23.857,23.978,24.002,24.05,23.809,23.641,24.05,23.833,23.617
3/2/16 9:45,23.881,24.002,23.978,24.074,23.809,23.641,24.05,23.857,23.641
3/2/16 10:00,23.881,24.026,23.978,24.074,23.809,23.665,24.074,23.857,23.641
3/2/16 10:15,23.905,24.026,23.978,24.098,23.833,23.665,24.074,23.881,23.665
3/2/16 10:30,23.93,24.026,23.978,24.098,23.833,23.665,24.098,23.881,23.665
3/2/16 10:45,23.954,24.05,23.978,24.122,23.833,23.689,24.122,23.905,23.689
3/2/16 11:00,23.978,24.05,23.978,24.146,23.857,23.689,24.146,23.93,23.713
3/2/16 11:15,24.002,24.074,24.026,24.195,23.881,23.737,24.195,23.954,23.737
3/2/16 11:30,24.026,24.098,24.05,24.219,23.905,23.761,24.243,24.002,23.785
3/2/16 11:45,24.05,24.098,24.074,24.243,23.93,23.785,24.267,24.026,23.809
3/2/16 12:00,24.074,24.146,24.098,24.315,23.978,23.833,24.339,24.074,23.881
3/2/16 12:15,24.122,24.171,24.146,24.363,24.026,23.881,24.412,24.146,23.93
3/2/16 12:30,24.171,24.291,24.243,24.508,24.122,23.978,24.532,24.267,24.05
3/2/16 12:45,24.243,24.363,24.339,24.605,24.219,24.098,24.653,24.363,24.171
3/2/16 13:00,24.339,24.388,24.363,24.653,24.243,24.146,24.75,24.412,24.243
3/2/16 13:15,24.46,24.388,24.436,24.75,24.315,24.243,24.847,24.508,24.315
3/2/16 13:30,24.532,24.557,24.508,24.847,24.412,24.412,24.944,24.605,24.412
3/2/16 13:45,24.629,24.605,24.557,24.871,24.436,24.484,25.016,24.653,24.46
3/2/16 14:00,24.75,24.677,24.629,24.944,24.484,24.581,25.089,24.726,24.532
3/2/16 14:15,24.823,24.726,24.677,25.016,24.532,24.653,25.162,24.774,24.605
3/2/16 14:30,24.895,24.75,24.726,25.04,24.557,24.726,25.21,24.823,24.653
3/2/16 14:45,24.968,24.798,24.774,25.065,24.581,24.798,25.234,24.847,24.677
3/2/16 15:00,24.992,24.823,24.798,25.089,24.605,24.823,25.283,24.871,24.702
3/2/16 15:15,25.016,24.847,24.895,25.137,24.629,24.895,25.307,24.895,24.75
3/2/16 15:30,25.04,24.847,24.823,25.137,24.653,24.944,25.331,24.919,24.774
3/2/16 15:45,25.065,24.823,24.823,25.137,24.653,24.968,25.307,24.895,24.774
3/2/16 16:00,25.089,24.798,24.823,25.113,24.653,24.968,25.307,24.895,24.774
3/2/16 16:15,25.065,24.798,24.798,25.113,24.629,24.968,25.283,24.895,24.774
3/2/16 16:30,25.065,24.75,24.774,25.065,24.605,24.944,25.234,24.847,24.75
3/2/16 16:45,25.04,24.726,24.75,25.04,24.581,24.895,25.21,24.823,24.726
3/2/16 17:00,25.016,24.702,24.726,24.992,24.557,24.871,25.162,24.798,24.702
3/2/16 17:15,24.992,24.677,24.702,24.968,24.532,24.847,25.113,24.774,24.677
3/2/16 17:30,24.944,24.653,24.677,24.919,24.508,24.823,25.089,24.726,24.653
3/2/16 17:45,24.895,24.605,24.629,24.895,24.484,24.774,25.04,24.702,24.629
3/2/16 18:00,24.871,24.581,24.605,24.847,24.46,24.75,24.992,24.653,24.581
3/2/16 18:15,24.823,24.532,24.581,24.798,24.412,24.702,24.919,24.629,24.557
3/2/16 18:30,24.774,24.484,24.532,24.75,24.388,24.653,24.871,24.581,24.508
3/2/16 18:45,24.726,24.46,24.484,24.677,24.339,24.605,24.823,24.532,24.46
3/2/16 19:00,24.677,24.412,24.436,24.629,24.291,24.557,24.774,24.484,24.412
3/2/16 19:15,24.629,24.363,24.412,24.605,24.267,24.508,24.726,24.46,24.363
3/2/16 19:30,24.557,24.339,24.388,24.557,24.243,24.484,24.677,24.436,24.339
3/2/16 19:45,24.508,24.315,24.339,24.508,24.219,24.46,24.629,24.388,24.315
3/2/16 20:00,24.484,24.267,24.315,24.46,24.171,24.412,24.605,24.363,24.267
3/2/16 20:15,24.436,24.243,24.267,24.436,24.122,24.363,24.557,24.315,24.219
3/2/16 20:30,24.388,24.195,24.243,24.388,24.074,24.339,24.508,24.267,24.171
3/2/16 20:45,24.363,24.146,24.171,24.315,24.026,24.267,24.46,24.219,24.122
3/2/16 21:00,24.315,24.098,24.122,24.267,23.978,24.219,24.412,24.195,24.074
3/2/16 21:15,24.267,24.05,24.098,24.243,23.954,24.195,24.388,24.146,24.026
3/2/16 21:30,24.219,24.026,24.074,24.195,23.905,24.146,24.339,24.098,23.978
3/2/16 21:45,24.171,24.002,24.026,24.171,23.881,24.122,24.315,24.074,23.954
