Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,,,
Measured Values,,"Scope 1/1, Sample 1/1",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,70.3,,20.1,,
26,0.0400,-18.7,0.0400,20.1,-89.0,
56,0.0800,-48.1,0.0400,20.1,-29.4,
59,0.1200,-48.9,0.0400,20.1,-0.8,
63,0.1600,-48.7,0.0400,20.1,0.2,
67,0.2000,-48.0,0.0400,20.1,0.7,
97,0.2400,-38.1,0.0400,20.1,9.9,
127,0.2800,-29.0,0.0400,20.1,9.1,
143,0.3200,-24.3,0.0400,20.1,4.7,
161,0.3600,-19.9,0.0400,20.1,4.4,
175,0.4000,-16.0,0.0400,20.1,3.9,
188,0.4400,-13.0,0.0400,20.1,3.0,
196,0.4800,-10.7,0.0400,20.1,2.3,
204,0.5200,-8.3,0.0400,20.1,2.4,
226,0.5600,-3.5,0.0400,20.1,4.8,
234,0.6000,-1.2,0.0400,20.1,2.3,
237,0.6400,-0.7,0.0400,20.1,0.5,
241,0.6800,0.1,0.0400,20.1,0.8,
250,0.7200,3.1,0.0400,20.1,3.0,
255,0.7600,4.7,0.0400,20.1,1.6,
259,0.8000,5.3,0.0400,20.1,0.6,
263,0.8400,6.1,0.0400,20.1,0.8,
280,0.8800,10.2,0.0400,20.2,4.1,
286,0.9200,12.0,0.0400,20.1,1.8,
291,0.9600,13.4,0.0400,20.2,1.4,
296,1.0000,14.5,0.0400,20.2,1.1,
301,1.0400,17.5,0.0400,20.2,3.0,
306,1.0800,19.0,0.0400,20.1,1.5,
311,1.1200,20.8,0.0400,20.2,1.8,
316,1.1600,22.5,0.0400,20.2,1.7,
322,1.2000,24.1,0.0400,20.2,1.6,
327,1.2400,25.9,0.0400,20.2,1.8,
332,1.2800,27.9,0.0400,20.2,2.0,
337,1.3200,29.1,0.0400,20.2,1.2,
343,1.3600,31.2,0.0400,20.2,2.1,
348,1.4000,33.7,0.0400,20.2,2.5,
353,1.4400,36.0,0.0400,20.2,2.3,
358,1.4800,37.8,0.0400,20.2,1.8,
363,1.5200,40.1,0.0400,20.2,2.3,
369,1.5600,42.9,0.0400,20.2,2.8,
374,1.6000,46.0,0.0400,20.2,3.1,
378,1.6400,47.1,0.0400,20.2,1.1,
383,1.6800,50.5,0.0400,20.2,3.4,
388,1.7200,52.8,0.0400,20.2,2.3,
393,1.7600,56.3,0.0400,20.2,3.5,
398,1.8000,58.5,0.0400,20.2,2.2,
404,1.8400,61.9,0.0400,20.2,3.4,
410,1.8800,64.9,0.0400,20.2,3.0,
416,1.9200,70.9,0.0400,20.2,6.0,
421,1.9600,74.4,0.0400,20.2,3.5,
426,2.0000,79.9,0.0400,20.2,5.5,
433,2.0400,85.8,0.0400,20.2,5.9,
441,2.0800,93.0,0.0400,20.2,7.2,
469,2.1200,106.6,0.0400,20.2,13.6,
493,2.1600,119.7,0.0400,20.2,13.1,
513,2.2000,135.7,0.0400,20.2,16.0,
528,2.2400,151.0,0.0400,20.2,15.3,337.37
538,2.2800,162.7,0.0400,20.2,11.7,279.05
546,2.3200,171.4,0.0400,20.2,8.7,217.23
552,2.3600,178.1,0.0400,20.2,6.7,156.54
556,2.4000,183.8,0.0400,20.2,5.7,119.20
684,2.4200,185.9,0.0200,20.2,2.1,110.13
688,2.4400,188.4,0.0200,20.2,2.5,103.18
692,2.4600,190.7,0.0200,20.2,2.3,94.93
696,2.4800,191.9,0.0200,20.2,1.2,87.58
