Tank,Mass,Salinity
20160627_CRM,100.03,33.624
20160627_TANK10,100,33.7
20160627_TANK11,99.97,33.8
20160627_TANK12,100.02,33.7
20160627_TANK13,100.04,33.7
20160627_TANK14,100.03,33.7
20160627_TANK15,99.97,33.7
20160627_TANK16,99.99,33.8
20160627_TANK17,99.99,33.7
20160627_TANK18,100.01,33.4
